,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,453,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial1,0.194011696248105,False
1,1,1,1,454,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial2,0.105348209291539,False
2,2,2,2,455,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial3,0.102192134343507,False
3,3,3,3,456,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial4,0.0362990438635733,False
4,4,4,4,457,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial5,0.0350766559516433,False
5,5,5,5,458,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial6,0.26033335547705,False
6,6,6,6,459,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial7,-0.0185418387314384,False
7,7,7,7,460,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial8,-0.0171382651157281,False
8,8,8,8,461,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial9,0.198261216000325,False
9,9,9,9,462,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial10,-0.0241807869416402,False
10,10,10,10,463,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial11,0.151936323465676,False
11,11,11,11,464,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial12,0.0251087428515273,False
12,12,12,12,465,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial13,-0.0061850261563534,False
13,13,13,13,466,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial14,0.163987828899922,False
14,14,14,14,467,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial15,0.112596953040226,False
15,15,15,15,468,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial16,0.0839087324420542,False
16,16,16,16,469,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial17,0.0213284523178006,False
17,17,17,17,470,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial18,0.173948256717098,False
18,18,18,18,471,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial19,0.004459144045378,False
19,19,19,19,472,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial20,0.218067887231817,False
20,20,20,20,473,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial21,0.0827638236391075,False
21,21,21,21,474,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial22,0.1685399328613,False
22,22,22,22,475,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial23,0.192289041060999,False
23,23,23,23,476,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial24,0.0772504133430307,False
24,24,24,24,477,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial25,0.193149085489149,False
25,25,25,25,478,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial26,0.0849793501529614,False
26,26,26,26,479,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial27,0.133688472230072,False
27,27,27,27,480,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial28,0.152851878370194,False
28,28,28,28,481,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run17,Trial29,0.177476864563634,False
