,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
515,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial1,0.2683301815375
516,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial2,-0.089489061687225
517,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial3,0.0860856242107269
518,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial4,-0.0370246392411429
519,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial5,-0.0458427318676371
520,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial6,0.202465373455189
521,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial7,-0.178246548074163
522,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial8,0.128753842770031
523,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial9,0.0362990438635733
524,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial10,0.0161806493972478
525,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial11,0.0362990438635733
526,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial12,-0.0269889257401665
527,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial13,-0.0241384855310316
528,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial14,-0.0960948050537018
529,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial15,0.0727278159484332
530,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial16,-0.0199429810246388
531,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial17,-0.0518125094651989
532,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial18,-0.0609392630633621
533,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial19,0.0871508954602733
534,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial20,-0.0355601455016799
535,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial21,0.0213284523178006
536,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial22,-0.068642123780339
537,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial23,0.115699014735084
538,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial24,0.0213284523178006
539,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial25,-0.0443556359118178
540,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial26,-0.0414333135215283
541,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial27,0.0263782982532867
542,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial28,0.140511812434852
543,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial29,-0.0944173490437183
544,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial30,-0.0518125094651989
545,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial31,0.0288564118190329
546,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial32,-0.0356035742260943
547,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial33,-0.021348658387474
548,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial34,-0.106212751765462
549,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial35,-0.0370246392411429
550,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial36,0.0399517812920824
551,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial37,0.0200503946783455
552,AAF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run19,Trial38,0.151908121914859
