,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,895,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial1,0.239690088268283,False
1,1,1,1,1,1,1,1,896,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial2,0.0273378361008345,False
2,2,2,2,2,2,2,2,897,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial3,0.0421748138982312,False
3,3,3,3,3,3,3,3,898,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial4,-0.0432022969827126,False
4,4,4,4,4,4,4,4,899,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial5,-0.129522614157297,False
5,5,5,5,5,5,5,5,900,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial6,0.0362932963515865,False
6,6,6,6,6,6,6,6,901,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial7,-0.096110519854939,False
7,7,7,7,7,7,7,7,902,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial8,-0.0861623994279763,False
8,8,8,8,8,8,8,8,903,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial9,-0.0613955873652481,False
9,9,9,9,9,9,9,9,904,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial10,-0.114603978545605,False
10,10,10,10,10,10,10,10,905,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial11,-0.0155842727190012,False
11,11,11,11,11,11,11,11,906,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial12,-0.096110519854939,False
12,12,12,12,12,12,12,12,907,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial13,-0.11885224175444,False
13,13,13,13,13,13,13,13,908,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial14,-0.0449501785710402,False
14,14,14,14,14,14,14,14,909,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial15,-0.149518219419019,False
15,15,15,15,15,15,15,15,910,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial16,-0.0008058995239177,False
16,16,16,16,16,16,16,16,911,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial17,-0.129522614157297,False
17,17,17,17,17,17,17,17,912,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial18,-0.100180845262178,False
18,18,18,18,18,18,18,18,913,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial19,0.0786281983285799,False
19,19,19,19,19,19,19,19,914,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial20,-0.0413639261353858,False
20,20,20,20,20,20,20,20,915,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial21,-0.0783821550099053,False
21,21,21,21,21,21,21,21,916,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial22,-0.154124009253264,False
22,22,22,22,22,22,22,22,917,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial23,-0.0726490011082968,False
23,23,23,23,23,23,23,23,918,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial24,-0.0343313752319445,False
24,24,24,24,24,24,24,24,919,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial25,-0.102235501302996,False
25,25,25,25,25,25,25,25,920,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial26,-0.142772594072297,False
26,26,26,26,26,26,26,26,921,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial27,-0.147307025880803,False
27,27,27,27,27,27,27,27,922,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial28,-0.0842506947650383,False
28,28,28,28,28,28,28,28,923,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial29,-0.0308919513231518,False
29,29,29,29,29,29,29,29,924,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial30,-0.187561092852845,False
30,30,30,30,30,30,30,30,925,AAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial31,-0.0122315943466074,False
