,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,43370,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial1,0.144077889925539,False
1,1,1,1,1,1,1,1,43371,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial2,-0.150067263853045,False
2,2,2,2,2,2,2,2,43372,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial3,-0.213255090743307,False
3,3,3,3,3,3,3,3,43373,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial4,-0.119545741374677,False
4,4,4,4,4,4,4,4,43374,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial5,0.0305129542347595,False
5,5,5,5,5,5,5,5,43375,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial6,-0.105063597788174,False
6,6,6,6,6,6,6,6,43376,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial7,-0.161537590268305,False
7,7,7,7,7,7,7,7,43377,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial8,0.0153116270084488,False
8,8,8,8,8,8,8,8,43378,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial9,-0.159267672608739,False
9,9,9,9,9,9,9,9,43379,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial10,-0.0773956956315005,False
10,10,10,10,10,10,10,10,43380,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial11,-0.134538432293421,False
11,11,11,11,11,11,11,11,43381,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial12,-0.195343765676649,False
12,12,12,12,12,12,12,12,43382,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial13,0.0075066615775169,False
13,13,13,13,13,13,13,13,43383,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run28,Trial14,-0.152414531483054,False
