,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
43741,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial1,0.203130608050951
43742,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial2,-0.088990495913154
43743,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial3,-0.0793900748204801
43744,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial4,0.0480975368354786
43745,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial5,0.160995655227665
43746,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial6,0.012186216396465
43747,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial7,-0.183031218053222
43748,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial8,-0.185429154125894
43749,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial9,-0.132350710642474
43750,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial10,-0.0285174122728873
43751,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial11,-0.0969827156250425
43752,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial12,-0.213412078839809
43753,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial13,-0.173319101499427
43754,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial14,-0.0302990654409352
43755,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial15,0.0137090768099464
43756,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial16,-0.1258956857978
43757,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial17,-0.130227970295352
43758,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial18,-0.329547407936869
43759,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial19,0.0364858387489377
43760,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial20,-0.0792651574418413
43761,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial21,-0.154785986819868
43762,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial22,-0.121616782949469
43763,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial23,-0.200355518389518
43764,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial24,-0.111265856391598
43765,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial25,-0.087078791250216
43766,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial26,-0.178141979287558
43767,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial27,-0.200355518389518
43768,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial28,-0.322930558012458
43769,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial29,-0.163947853107281
43770,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial30,-0.0251963857576807
43771,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial31,-0.178141979287558
43772,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial32,-0.180512997640247
43773,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial33,-0.380189481842133
43774,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial34,0.00596975286460211
43775,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial35,-0.103008941747355
43776,AAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run36,Trial36,-0.242986673454411
