,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
86974,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial1,0.251533737438376
86975,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial2,-0.202776404090447
86976,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial3,-0.189580882911427
86977,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial4,0.108201235415847
86978,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial5,-0.254696678292724
86979,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial6,-0.166409229501426
86980,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial7,-0.042537026903787
86981,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial8,-0.164345146623449
86982,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial9,0.152681674495751
86983,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial10,-0.252181126085392
86984,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial11,-0.0629869086251706
86985,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial12,-0.189580882911427
86986,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial13,-0.196090142842245
86987,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial14,0.21310410460712
86988,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial15,-0.294125734011757
86989,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial16,-0.164345146623449
86990,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial17,0.0124014310143958
86991,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial18,0.269176262173184
86992,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial19,-0.19170362325855
86993,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial20,-0.16236185436343
86994,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial21,-0.0646124366415788
86995,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial22,-0.114330176035095
86996,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial23,-0.0409382064744306
86997,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial24,0.0310106375130315
86998,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial25,-0.131008615127879
86999,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial26,-0.0288847310083558
87000,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial27,-0.0896004817052689
87001,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial28,0.00277512899795473
87002,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial29,0.331363989602315
87003,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial30,-0.13106526346578
87004,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial31,-0.0288847310083558
87005,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial32,-0.0630353438543403
87006,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial33,0.0538120054961992
87007,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial34,-0.127276708108606
87008,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial35,-0.148343408529229
87009,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial36,-0.123520916496951
87010,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial37,-0.196090142842245
87011,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial38,0.00694549279343493
87012,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial39,-0.16236185436343
87013,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial40,0.0475553677446361
87014,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial41,-0.066244071739201
87015,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial42,-0.0127483901466254
87016,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial43,0.0335839442860681
87017,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial44,-0.225583604700762
87018,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial45,-0.0471666962196102
87019,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run19,Trial46,-0.054980995688787
