,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,87099,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial1,0.102751911284505,False
1,1,1,1,1,1,1,1,87100,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial2,-0.127276708108606,False
2,2,2,2,2,2,2,2,87101,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial3,-0.0027687449133964,False
3,3,3,3,3,3,3,3,87102,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial4,-0.0879216164838379,False
4,4,4,4,4,4,4,4,87103,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial5,-0.0070339066221958,False
5,5,5,5,5,5,5,5,87104,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial6,-0.13483001020955,False
6,6,6,6,6,6,6,6,87105,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial7,0.0027751289979547,False
7,7,7,7,7,7,7,7,87106,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial8,-0.223230714459926,False
8,8,8,8,8,8,8,8,87107,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial9,0.0335839442860681,False
9,9,9,9,9,9,9,9,87108,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial10,0.024453765085767,False
10,10,10,10,10,10,10,10,87109,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial11,0.102751911284505,False
11,11,11,11,11,11,11,11,87110,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial12,0.158522680894368,False
12,12,12,12,12,12,12,12,87111,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial13,-0.0156485551081236,False
13,13,13,13,13,13,13,13,87112,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial14,0.1157439573789859,False
14,14,14,14,14,14,14,14,87113,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial15,-0.0646124366415788,False
15,15,15,15,15,15,15,15,87114,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial16,0.2546487055811,False
16,16,16,16,16,16,16,16,87115,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial17,-0.116169252309448,False
17,17,17,17,17,17,17,17,87116,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial18,0.0671572739087956,False
18,18,18,18,18,18,18,18,87117,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial19,0.120033819857835,False
19,19,19,19,19,19,19,19,87118,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial20,-0.112562187372585,False
20,20,20,20,20,20,20,20,87119,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial21,0.017796379126461,False
21,21,21,21,21,21,21,21,87120,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial22,-0.148343408529229,False
22,22,22,22,22,22,22,22,87121,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial23,-0.054980995688787,False
23,23,23,23,23,23,23,23,87122,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial24,0.0191013012384609,False
24,24,24,24,24,24,24,24,87123,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial25,-0.0127483901466254,False
25,25,25,25,25,25,25,25,87124,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial26,0.0537749922876793,False
26,26,26,26,26,26,26,26,87125,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial27,-0.0597940551166092,False
27,27,27,27,27,27,27,27,87126,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial28,0.121097055419461,False
28,28,28,28,28,28,28,28,87127,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial29,0.142703280201369,False
29,29,29,29,29,29,29,29,87128,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial30,0.1477360418417699,False
30,30,30,30,30,30,30,30,87129,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial31,0.196566847732147,False
31,31,31,31,31,31,31,31,87130,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial32,-0.0646124366415788,False
32,32,32,32,32,32,32,32,87131,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial33,0.0218256212293908,False
33,33,33,33,33,33,33,33,87132,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial34,0.0537749922876793,False
34,34,34,34,34,34,34,34,87133,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial35,0.0824382869780651,False
35,35,35,35,35,35,35,35,87134,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial36,-0.0348431730004184,False
36,36,36,36,36,36,36,36,87135,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial37,-0.0318574903472282,False
37,37,37,37,37,37,37,37,87136,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial38,0.0574485519673176,False
38,38,38,38,38,38,38,38,87137,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial39,0.0858838768642962,False
39,39,39,39,39,39,39,39,87138,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial40,-0.623670359271105,True
40,40,40,40,40,40,40,40,87139,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial41,-0.653906242366521,True
41,41,41,41,41,41,41,41,87140,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial42,-0.174744200134214,False
