,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,2754,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial1,0.112091127599246,False
1,1,1,1,2755,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial2,-0.168841354600001,False
2,2,2,2,2756,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial3,-0.094544504147521,False
3,3,3,3,2757,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial4,-0.393353489746845,True
4,4,4,4,2758,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial5,-0.502526161027951,True
5,5,5,5,2759,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial6,-0.105653527709739,False
6,6,6,6,2760,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial7,-0.288600905660753,True
7,7,7,7,2761,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial8,-0.0106180412274886,False
8,8,8,8,2762,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial9,-0.156017972033005,False
9,9,9,9,2763,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial10,-0.332140980778503,True
10,10,10,10,2764,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial11,-0.0793372284950751,False
11,11,11,11,2765,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial12,-0.275028628724854,True
12,12,12,12,2766,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial13,-0.158578084758157,False
13,13,13,13,2767,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial14,-0.278398974045146,True
14,14,14,14,2768,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial15,-0.475174831960678,True
15,15,15,15,2769,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial16,-0.193047540813823,False
16,16,16,16,2770,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial17,-0.239800373808387,False
17,17,17,17,2771,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial18,-0.265055416747634,False
18,18,18,18,2772,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial19,-0.351522344700894,True
19,19,19,19,2773,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial20,-0.491306622547974,True
20,20,20,20,2774,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial21,-0.227560783553101,False
21,21,21,21,2775,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial22,-0.363600884453987,True
22,22,22,22,2776,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial23,-0.0485544850165973,False
23,23,23,23,2777,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial24,-0.184855130197964,False
24,24,24,24,2778,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial25,-0.0234539030004668,False
25,25,25,25,2779,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial26,-0.0142403383342904,False
26,26,26,26,2780,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial27,0.117496053451632,False
27,27,27,27,2781,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial28,0.0089513243276431,False
28,28,28,28,2782,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial29,-0.317069873980588,True
29,29,29,29,2783,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial30,-0.537822097674166,True
30,30,30,30,2784,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial31,-0.224650701913335,False
31,31,31,31,2785,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial32,-0.179420056508454,False
32,32,32,32,2786,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial33,-0.179420056508454,False
33,33,33,33,2787,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial34,-0.306203314027945,True
34,34,34,34,2788,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial35,-0.0667280302007107,False
35,35,35,35,2789,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial36,0.175683296685945,False
36,36,36,36,2790,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial37,0.125552427676714,False
37,37,37,37,2791,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial38,-0.411265079055547,True
38,38,38,38,2792,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial39,0.0597253631517551,False
39,39,39,39,2793,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial40,0.181565929963436,False
40,40,40,40,2794,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial41,0.120213837986709,False
41,41,41,41,2795,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial42,-0.094544504147521,False
42,42,42,42,2796,AVB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run33,Trial43,-0.393353489746845,True
