,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
44811,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial1,0.0592587448920159
44812,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial2,-0.576813045393485
44813,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial3,-0.207914679950624
44814,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial4,-0.00498893716093818
44815,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial5,0.0893771079312611
44816,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial6,0.180447481623061
44817,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial7,-0.252759501399829
44818,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial8,-0.667746768842512
44819,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial9,-0.000309382341990183
44820,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial10,-0.258320900171069
44821,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial11,-0.0766636026193308
44822,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial12,-0.511399567982588
44823,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial13,-0.639548432085689
44824,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial14,-0.0445233300760313
44825,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial15,-0.241764465079725
44826,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial16,-0.0675273761092501
44827,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial17,-0.302851975888568
44828,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial18,-0.729894675591357
44829,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial19,-0.0393493232976092
44830,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial20,-0.302851975888568
44831,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial21,-0.136310431777928
44832,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial22,-0.335308308926907
44833,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial23,-0.359502592101906
44834,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial24,-0.121553820287115
44835,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial25,-0.284559969367613
44836,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial26,-0.00971946425397174
44837,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial27,-0.00498893716093818
44838,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial28,-0.594731432555928
44839,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial29,-0.0918184058903679
44840,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial30,-0.00187665709579043
44841,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial31,0.121116577275269
44842,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial32,-0.542889470084607
44843,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial33,-0.73837042310589
44844,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial34,-0.000309382341990183
44845,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial35,-0.107471409297508
44846,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial36,0.046869351970952
44847,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial37,-0.542889470084607
44848,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial38,-0.675119623057008
44849,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial39,0.0454636746081167
44850,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial40,-0.338721980160117
44851,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial41,0.0149998235303919
44852,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial42,-0.174033189006761
44853,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial43,-0.6329846625833
44854,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial44,-0.188219444356971
44855,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial45,0.00741267472396334
44856,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial46,-0.0549629121227766
44857,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial47,-0.306018932824919
44858,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial48,-0.416534536149792
44859,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial49,-0.352493846291263
44860,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial50,-0.408431679582656
44861,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial51,0.188579250934576
44862,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial52,-0.381458749992426
44863,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial53,-0.607048928488901
44864,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial54,-0.0376410896174386
44865,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial55,-0.275694996240492
44866,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial56,-0.119551915623806
44867,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial57,-0.68998506921726
44868,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial58,-0.72154021499973
44869,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial59,0.0496324428755748
44870,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial60,-0.123699405674264
44871,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial61,0.0699824447777755
44872,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial62,-0.312311213370615
44873,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial63,-0.5825751591057
44874,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial64,-0.482204613988137
44875,AVB_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial65,0.0981762292866888
