,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,87954,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial1,0.1397499235997349,False
1,1,1,1,1,1,1,1,87955,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial2,-0.0385833079162787,False
2,2,2,2,2,2,2,2,87956,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial3,-0.104409074637188,False
3,3,3,3,3,3,3,3,87957,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial4,0.120200495408875,False
4,4,4,4,4,4,4,4,87958,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial5,-0.2013314257319188,False
5,5,5,5,5,5,5,5,87959,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial6,-0.0138464392540181,False
6,6,6,6,6,6,6,6,87960,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial7,-0.0488917467873562,False
7,7,7,7,7,7,7,7,87961,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial8,-0.100478781008755,False
8,8,8,8,8,8,8,8,87962,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial9,0.0049623530444975,False
9,9,9,9,9,9,9,9,87963,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial10,-0.189153180590209,False
10,10,10,10,10,10,10,10,87964,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial11,-0.0888778608730547,False
11,11,11,11,11,11,11,11,87965,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial12,-0.0794758344333748,False
12,12,12,12,12,12,12,12,87966,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial13,-0.13510967321131,False
13,13,13,13,13,13,13,13,87967,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial14,0.103390480728935,False
14,14,14,14,14,14,14,14,87968,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial15,0.0730093587973428,False
15,15,15,15,15,15,15,15,87969,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial16,-0.1726623559641499,False
16,16,16,16,16,16,16,16,87970,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial17,-0.1414588868180969,False
17,17,17,17,17,17,17,17,87971,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial18,-0.182037536052238,False
18,18,18,18,18,18,18,18,87972,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial19,0.0445509521156104,False
19,19,19,19,19,19,19,19,87973,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial20,-0.128778860393312,False
20,20,20,20,20,20,20,20,87974,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial21,0.0756059570598029,False
21,21,21,21,21,21,21,21,87975,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial22,0.409292688782906,False
22,22,22,22,22,22,22,22,87976,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial23,-0.291526089299768,True
23,23,23,23,23,23,23,23,87977,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial24,0.211179641197718,False
24,24,24,24,24,24,24,24,87978,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial25,0.0730093587973428,False
25,25,25,25,25,25,25,25,87979,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial26,-0.120516380602577,False
26,26,26,26,26,26,26,26,87980,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial27,-0.0648237232369548,False
27,27,27,27,27,27,27,27,87981,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial28,-0.229321491165367,False
28,28,28,28,28,28,28,28,87982,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial29,-0.0437026514734868,False
29,29,29,29,29,29,29,29,87983,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial30,-0.143624894827952,False
30,30,30,30,30,30,30,30,87984,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial31,-0.0558966483560144,False
31,31,31,31,31,31,31,31,87985,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial32,-0.0488917467873562,False
32,32,32,32,32,32,32,32,87986,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial33,0.0871880012157966,False
33,33,33,33,33,33,33,33,87987,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial34,0.0872070490801535,False
34,34,34,34,34,34,34,34,87988,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial35,0.0095266850424073,False
35,35,35,35,35,35,35,35,87989,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial36,-0.0795037942056025,False
36,36,36,36,36,36,36,36,87990,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial37,-0.0437026514734868,False
37,37,37,37,37,37,37,37,87991,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial38,0.0018822920367558,False
38,38,38,38,38,38,38,38,87992,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial39,0.0947350085813858,False
