,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,123098,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial1,-0.720376100562815,True
1,1,1,1,123099,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial2,0.107907760155417,False
2,2,2,2,123100,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial3,-0.0157109151082855,False
3,3,3,3,123101,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial4,-0.215180885590412,False
4,4,4,4,123102,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial5,-0.783025405653174,True
5,5,5,5,123103,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial6,-0.606432748255978,True
6,6,6,6,123104,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial7,-0.564028899702891,True
7,7,7,7,123105,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial8,-0.606432748255978,True
8,8,8,8,123106,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial9,-0.564028899702891,True
9,9,9,9,123107,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial10,-0.706065619599508,True
10,10,10,10,123108,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial11,-0.481494011647678,True
11,11,11,11,123109,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial12,-0.59532880390348,True
12,12,12,12,123110,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial13,-0.554291507152978,True
13,13,13,13,123111,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial14,-0.59532880390348,True
14,14,14,14,123112,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial15,-0.629060940865592,True
15,15,15,15,123113,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial16,-0.584872415859838,True
16,16,16,16,123114,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial17,-0.473385401321265,True
17,17,17,17,123115,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial18,-0.507478574493782,True
18,18,18,18,123116,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial19,-0.544140100801943,True
19,19,19,19,123117,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial20,-0.678720286355702,True
20,20,20,20,123118,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial21,-0.377887622530892,True
21,21,21,21,123119,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial22,-0.473139551056051,True
22,22,22,22,123120,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial23,-0.678720286355702,True
23,23,23,23,123121,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial24,-0.62947173224455,True
24,24,24,24,123122,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial25,-0.666082309772347,True
25,25,25,25,123123,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial26,-0.305374914094381,True
26,26,26,26,123124,CKJ_Vertex_PATIENT,PATIENT,Block3,FIXED,VERTEX,Run31,Trial27,-0.384583998639621,True
