,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,4226,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial1,-0.0374259706992404,False
1,1,1,1,1,1,1,1,4227,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial2,-0.247311902160375,False
2,2,2,2,2,2,2,2,4228,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial3,-0.0240521498725359,False
3,3,3,3,3,3,3,3,4229,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial4,-0.126050751915356,False
4,4,4,4,4,4,4,4,4230,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial5,-0.29657311106178,True
5,5,5,5,5,5,5,5,4231,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial6,-0.235201849533908,False
6,6,6,6,6,6,6,6,4232,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial7,-0.218903796700663,False
7,7,7,7,7,7,7,7,4233,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial8,-0.0687251127660145,False
8,8,8,8,8,8,8,8,4234,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial9,-0.0039234746879084,False
9,9,9,9,9,9,9,9,4235,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial10,-0.1008597563017919,False
10,10,10,10,10,10,10,10,4236,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial11,-0.169000524585281,False
11,11,11,11,11,11,11,11,4237,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial12,-0.0991555932125863,False
12,12,12,12,12,12,12,12,4238,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial13,0.1034779888607869,False
13,13,13,13,13,13,13,13,4239,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial14,0.0139173538089219,False
14,14,14,14,14,14,14,14,4240,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial15,-0.257151211234596,False
15,15,15,15,15,15,15,15,4241,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial16,-0.203062335260182,False
16,16,16,16,16,16,16,16,4242,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial17,-0.156918332115016,False
17,17,17,17,17,17,17,17,4243,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial18,-0.0137852111990018,False
18,18,18,18,18,18,18,18,4244,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial19,0.20102752641546,False
19,19,19,19,19,19,19,19,4245,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial20,-0.109714640796716,False
20,20,20,20,20,20,20,20,4246,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial21,-0.0496965316380154,False
21,21,21,21,21,21,21,21,4247,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial22,-0.141147905476322,False
22,22,22,22,22,22,22,22,4248,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial23,-0.0496965316380154,False
23,23,23,23,23,23,23,23,4249,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial24,0.0323125134625442,False
24,24,24,24,24,24,24,24,4250,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial25,0.372756481178977,False
25,25,25,25,25,25,25,25,4251,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial26,0.0016790557607495,False
26,26,26,26,26,26,26,26,4252,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial27,-0.280441320474483,True
27,27,27,27,27,27,27,27,4253,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial28,-0.0195994555415773,False
28,28,28,28,28,28,28,28,4254,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial29,-0.0283730834325855,False
29,29,29,29,29,29,29,29,4255,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial30,-0.230420142156052,False
30,30,30,30,30,30,30,30,4256,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial31,0.10460881533608,False
31,31,31,31,31,31,31,31,4257,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial32,0.0043744262338187,False
32,32,32,32,32,32,32,32,4258,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial33,0.1693333056144249,False
33,33,33,33,33,33,33,33,4259,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial34,0.194037012313742,False
34,34,34,34,34,34,34,34,4260,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial35,-0.137416994651886,False
35,35,35,35,35,35,35,35,4261,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial36,-0.1279851688407769,False
36,36,36,36,36,36,36,36,4262,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial37,0.153079722144617,False
37,37,37,37,37,37,37,37,4263,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial38,-0.0991555932125863,False
38,38,38,38,38,38,38,38,4264,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial39,-0.0769424388662654,False
39,39,39,39,39,39,39,39,4265,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial40,0.0310541088676629,False
40,40,40,40,40,40,40,40,4266,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial41,-0.0853182492699402,False
41,41,41,41,41,41,41,41,4267,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial42,-0.221150420643219,False
42,42,42,42,42,42,42,42,4268,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial43,-0.0196866107660121,False
43,43,43,43,43,43,43,43,4269,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial44,0.211407016135941,False
44,44,44,44,44,44,44,44,4270,CRB_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run36,Trial45,-0.133595098884185,False
