,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
3123,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial1,-0.0477470306154646
3124,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial2,-0.0959772742457683
3125,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial3,-0.157302667380391
3126,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial4,-0.0505220403407063
3127,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial5,-0.12143772021404
3128,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial6,-0.102203825086399
3129,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial7,-0.151995432366439
3130,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial8,-0.157284868426212
3131,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial9,0.0486024728696091
3132,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial10,-0.113327872556735
3133,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial11,-0.0837857513943003
3134,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial12,-0.14500987266981
3135,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial13,-0.0990793908772507
3136,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial14,-0.0157604694461271
3137,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial15,-0.159068384544019
3138,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial16,-0.111722316163681
3139,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial17,-0.0944267856429795
3140,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial18,0.0627767906909944
3141,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial19,0.159471214115198
3142,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial20,-0.157302667380391
3143,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial21,0.0293476735768707
3144,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial22,-0.100638798232772
3145,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial23,-0.108512993071541
3146,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial24,0.00676030413759232
3147,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial25,-0.186739223253026
3148,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial26,-0.00686449907757414
3149,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial27,-0.0719198335402642
3150,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial28,-0.0354743490469818
3151,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial29,-0.0561258274725334
3152,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial30,-0.0646766511936976
3153,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial31,-0.0632409656485433
3154,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial32,-0.0381717970871041
3155,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial33,-0.058962167669268
3156,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial34,0.174647692832878
3157,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial35,-0.169935248140744
3158,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial36,-0.192501076039486
3159,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial37,-0.0533219003165755
3160,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial38,-0.0618100105420942
3161,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial39,0.185286647819622
3162,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial40,-0.222464299416929
3163,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial41,-0.12472784566109
3164,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial42,-0.0575452186736616
3165,CRB_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial43,-0.011922847250756
