,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,45416,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial1,0.0382953911054855,False
1,1,1,1,45417,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial2,-0.0981873584953372,False
2,2,2,2,45418,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial3,0.0419276934003778,False
3,3,3,3,45419,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial4,-0.164855843417994,False
4,4,4,4,45420,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial5,-0.0026156962595429,False
5,5,5,5,45421,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial6,-0.110040185290337,False
6,6,6,6,45422,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial7,-0.116970080230707,False
7,7,7,7,45423,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial8,-0.0462930861120454,False
8,8,8,8,45424,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial9,-0.0675565031925576,False
9,9,9,9,45425,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial10,0.0157559938114997,False
10,10,10,10,45426,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial11,-0.0507701964676448,False
11,11,11,11,45427,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial12,-0.0834164989269097,False
12,12,12,12,45428,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial13,-0.0537682187069244,False
13,13,13,13,45429,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial14,-0.0053048347703241,False
14,14,14,14,45430,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial15,-0.0374895181417254,False
15,15,15,15,45431,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial16,0.206998596939802,False
16,16,16,16,45432,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial17,-0.0217990126318823,False
17,17,17,17,45433,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial18,-0.0080107281462491,False
18,18,18,18,45434,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial19,-0.160978188354793,False
19,19,19,19,45435,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial20,-0.0567946733371119,False
20,20,20,20,45436,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial21,0.071170517901376,False
21,21,21,21,45437,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial22,0.0013870461941309,False
22,22,22,22,45438,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run3,Trial23,-0.0093700234089739,False
