,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
45550,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial1,0.168979855388558
45551,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial2,-0.0246099899657106
45552,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial3,-0.0232022270413204
45553,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial4,-0.149539326362283
45554,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial5,-0.085025912437366
45555,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial6,-0.043338690487992
45556,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial7,-0.0769901053868476
45557,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial8,-0.111760165684611
45558,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial9,-0.229859477762605
45559,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial10,-0.0818049848720417
45560,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial11,-0.227603397458381
45561,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial12,0.0221334135766154
45562,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial13,-0.0801994284789882
45563,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial14,-0.101532584024753
45564,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial15,-0.182757080302841
45565,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial16,-0.0374822557529173
45566,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial17,0.206994460782183
45567,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial18,-0.0948594151464097
45568,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial19,-0.115220697794117
45569,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial20,-0.12398575903937
45570,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial21,-0.143944849056012
45571,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial22,0.103839634654744
45572,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial23,-0.0981957103926039
45573,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial24,-0.04333132962695
45574,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial25,-0.10323603252604
45575,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial26,0.00928352704016477
45576,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial27,0.0689083408910993
45577,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial28,-0.00128402699224495
45578,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial29,-0.199304027353131
45579,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial30,-0.157125283420632
45580,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial31,0.222438193232025
45581,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial32,0.097494134354815
45582,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial33,0.0597108957343253
45583,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial34,-0.184791297853223
45584,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial35,-0.157144415336137
45585,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial36,-0.214318542115191
45586,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial37,0.0491321579903197
45587,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial38,-0.0345869967381782
45588,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial39,0.121316563694577
45589,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial40,-0.203530539040256
45590,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial41,0.00402859121357535
45591,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial42,0.147704771537714
45592,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial43,-0.108318440826386
45593,CRB_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run6,Trial44,0.0443464954395028
