,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,90193,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial1,0.0857073840599298,False
1,1,1,1,90194,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial2,-0.241005087362672,False
2,2,2,2,90195,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial3,0.0217012770870908,False
3,3,3,3,90196,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial4,0.024470535241131,False
4,4,4,4,90197,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial5,-0.256461946958116,False
5,5,5,5,90198,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial6,-0.182165096505636,False
6,6,6,6,90199,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial7,-0.223719853855056,False
7,7,7,7,90200,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial8,-0.336730190301273,True
8,8,8,8,90201,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial9,-0.105569136239898,False
9,9,9,9,90202,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial10,-0.29763232940934,True
10,10,10,10,90203,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial11,-0.113016097844239,False
11,11,11,11,90204,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial12,-0.283470758876183,True
12,12,12,12,90205,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial13,-0.264434994419503,False
13,13,13,13,90206,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial14,0.0637389712192893,False
14,14,14,14,90207,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial15,-0.223792640639903,False
15,15,15,15,90208,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial16,-0.171268657252345,False
16,16,16,16,90209,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial17,-0.160638931245592,False
17,17,17,17,90210,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial18,-0.200158961953251,False
18,18,18,18,90211,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial19,-0.118683953808283,False
19,19,19,19,90212,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial20,-0.211815057295354,False
20,20,20,20,90213,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial21,-0.0700605807739629,False
21,21,21,21,90214,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial22,-0.264355067823013,False
22,22,22,22,90215,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial23,0.0312331073776146,False
23,23,23,23,90216,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial24,-0.0909851312710268,False
24,24,24,24,90217,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial25,-0.297718621653603,True
25,25,25,25,90218,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial26,-0.112959697184187,False
26,26,26,26,90219,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial27,-0.283554282400109,True
27,27,27,27,90220,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial28,0.0736313098276602,False
28,28,28,28,90221,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial29,-0.0909851312710268,False
29,29,29,29,90222,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial30,-0.253918811991169,False
30,30,30,30,90223,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial31,-0.114919207064514,False
31,31,31,31,90224,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial32,-0.286277578532218,True
32,32,32,32,90225,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial33,0.0105361719171091,False
33,33,33,33,90226,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial34,0.0019500046373628,False
34,34,34,34,90227,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial35,-0.214193786339443,False
35,35,35,35,90228,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial36,-0.0217567975593971,False
36,36,36,36,90229,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial37,-0.231108946975035,False
37,37,37,37,90230,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial38,-0.214122590522579,False
38,38,38,38,90231,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial39,-0.148270454002982,False
39,39,39,39,90232,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial40,-0.105513694391069,False
40,40,40,40,90233,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial41,-0.12826546522314,False
41,41,41,41,90234,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial42,-0.241093454818055,False
42,42,42,42,90235,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial43,-0.264355067823013,False
43,43,43,43,90236,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial44,-0.0500980153379347,False
44,44,44,44,90237,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial45,-0.236035069684125,False
45,45,45,45,90238,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial46,-0.0735059216557441,False
46,46,46,46,90239,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial47,-0.1564318222495,False
47,47,47,47,90240,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial48,-0.162689353890248,False
48,48,48,48,90241,CRB_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial49,-0.0616192254189878,False
