,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,89356,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial1,0.2084283605986039,False
1,1,1,1,1,1,1,1,89357,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial2,0.032337101542923,False
2,2,2,2,2,2,2,2,89358,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial3,-0.0463212130966646,False
3,3,3,3,3,3,3,3,89359,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial4,0.0477574604104167,False
4,4,4,4,4,4,4,4,89360,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial5,-0.0671970552912824,False
5,5,5,5,5,5,5,5,89361,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial6,-0.0354902882109939,False
6,6,6,6,6,6,6,6,89362,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial7,-0.0324425416593122,False
7,7,7,7,7,7,7,7,89363,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial8,-0.0542240948458432,False
8,8,8,8,8,8,8,8,89364,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial9,0.0898382278069589,False
9,9,9,9,9,9,9,9,89365,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial10,-0.11958512475097,False
10,10,10,10,10,10,10,10,89366,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial11,0.0349454846504513,False
11,11,11,11,11,11,11,11,89367,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial12,-0.044756186243037,False
12,12,12,12,12,12,12,12,89368,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial13,0.0490181129121607,False
13,13,13,13,13,13,13,13,89369,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial14,0.0177040502437587,False
14,14,14,14,14,14,14,14,89370,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial15,-0.0622897207965383,False
15,15,15,15,15,15,15,15,89371,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial16,0.084070620039367,False
16,16,16,16,16,16,16,16,89372,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial17,-0.0463212130966646,False
17,17,17,17,17,17,17,17,89373,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial18,-0.0671970552912824,False
18,18,18,18,18,18,18,18,89374,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial19,-0.0755096022241468,False
19,19,19,19,19,19,19,19,89375,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial20,-0.0431967788875158,False
20,20,20,20,20,20,20,20,89376,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial21,0.0177040502437587,False
21,21,21,21,21,21,21,21,89377,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial22,-0.0510504193407253,False
22,22,22,22,22,22,22,22,89378,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial23,-0.144408708476003,False
23,23,23,23,23,23,23,23,89379,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial24,-0.104976643246891,False
24,24,24,24,24,24,24,24,89380,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial25,-0.127082587430533,False
25,25,25,25,25,25,25,25,89381,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run6,Trial26,0.0204015401699897,False
