,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
89450,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial1,0.0614212540272154
89451,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial2,-0.148356867320995
89452,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial3,-0.0943493013348968
89453,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial4,0.0817419577207841
89454,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial5,-0.214631582665869
89455,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial6,-0.0145774313258222
89456,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial7,-0.087400441379569
89457,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial8,-0.123312997270214
89458,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial9,-0.0721604748228324
89459,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial10,-0.0805694992461996
89460,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial11,-0.115888979191006
89461,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial12,-0.205499753457564
89462,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial13,-0.192135791899582
89463,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial14,0.127149069495288
89464,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial15,-0.0771896928391667
89465,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial16,0.0552670621891624
89466,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial17,-0.192124825005681
89467,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial18,-0.130856611263292
89468,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial19,-0.136618464049751
89469,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial20,-0.142448007710475
89470,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial21,-0.0494682883308508
89471,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial22,-0.142448007710475
89472,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial23,0.0711116248514583
89473,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial24,-0.0908609734890757
89474,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial25,0.0552670621891624
89475,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial26,0.0746741702080458
89476,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial27,-0.127063705061751
89477,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial28,-0.0264029842621571
89478,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial29,-0.179170814735214
89479,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial30,-0.104994589299865
89480,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial31,0.0025677163663782
89481,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial32,-0.125198402684167
89482,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial33,0.181444870913011
89483,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial34,0.120793427064107
89484,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial35,-0.144408708476003
89485,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial36,0.0190548895347176
89486,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial37,-0.132784691031095
89487,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial38,0.0477574604104167
89488,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial39,-0.123322357165943
89489,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial40,-0.0856804609852952
89490,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial41,-0.0160372215505293
89491,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial42,-0.148356867320995
89492,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial43,-0.154337178013529
89493,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial44,-0.160431573548181
89494,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial45,-0.134682934834999
89495,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial46,0.094392122129745
89496,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial47,-0.17493376179196
89497,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run8,Trial48,-0.0622897207965383
