,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,132075,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial1,0.126646817279433,False
1,1,1,1,132076,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial2,-0.108990964447377,False
2,2,2,2,132077,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial3,0.0232721993991336,False
3,3,3,3,132078,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial4,0.0559345303542358,False
4,4,4,4,132079,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial5,0.163552442880489,False
5,5,5,5,132080,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial6,0.135115776401861,False
6,6,6,6,132081,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial7,0.123436645928264,False
7,7,7,7,132082,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial8,0.267082167237182,False
8,8,8,8,132083,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial9,-0.0719683403344922,False
9,9,9,9,132084,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial10,-0.18959525781172,False
10,10,10,10,132085,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial11,-0.110844424256427,False
11,11,11,11,132086,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial12,-0.200896675714392,False
12,12,12,12,132087,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial13,0.189283647966227,False
13,13,13,13,132088,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial14,-0.114528643693019,False
