,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
132123,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial1,0.0470514085547173
132124,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial2,-0.212359946075189
132125,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial3,-0.14546485985638
132126,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial4,-0.0505368858387394
132127,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial5,-0.297150558098072
132128,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial6,-0.161707110266029
132129,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial7,-0.261737234974645
132130,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial8,-0.221801245730765
132131,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial9,-0.17229697727081
132132,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial10,-0.251473965132801
132133,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial11,-0.196338507009388
132134,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial12,-0.302907617425869
132135,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial13,-0.0488752116258961
132136,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial14,-0.159685951167146
132137,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial15,-0.323491914331918
132138,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial16,-0.180832854873812
132139,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial17,-0.221801245730765
132140,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial18,-0.139461883896832
132141,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial19,-0.08569393848359
132142,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial20,-0.170098927180807
132143,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial21,-0.141450365391241
132144,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial22,-0.256575282993175
132145,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial23,-0.103513921602132
132146,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial24,-0.108990964447377
132147,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial25,-0.116405939723868
132148,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial26,-0.137531595480482
132149,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial27,-0.194082834788812
132150,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial28,-0.0347265333768192
132151,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial29,-0.0425597672238678
132152,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial30,-0.221801245730765
132153,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial31,-0.137472640144491
132154,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial32,-0.176479449281144
132155,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial33,-0.133540753239669
132156,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial34,-0.153545742019511
132157,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial35,-0.159685951167146
132158,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial36,-0.183020576524758
132159,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial37,-0.0255033467337182
132160,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial38,-0.0347265333768192
132161,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial39,0.0273179576120648
132162,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial40,0.00664500056106831
132163,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial41,-0.167964641906776
132164,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial42,-0.174377830029137
132165,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial43,0.0136458973826925
132166,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial44,0.0683193203520553
132167,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial45,-0.0702732753970916
132168,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial46,-0.135502247037964
132169,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial47,-0.00624242716433754
132170,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial48,0.134091775153944
132171,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial49,-0.0962604192875554
132172,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial50,-0.118291385860768
132173,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial51,-0.053741668256841
132174,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial52,-0.133599177196426
132175,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial53,0.0495879655926981
132176,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run20,Trial54,-0.139461883896832
