,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,132177,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial1,0.0979047462612552,False
1,1,1,1,1,1,1,1,132178,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial2,-0.248913852407648,False
2,2,2,2,2,2,2,2,132179,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial3,0.0038368617625419,False
3,3,3,3,3,3,3,3,132180,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial4,-0.155599920782139,False
4,4,4,4,4,4,4,4,132181,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial5,-0.159685951167146,False
5,5,5,5,5,5,5,5,132182,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial6,-0.149456204792547,False
6,6,6,6,6,6,6,6,132183,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial7,-0.288746046892711,True
7,7,7,7,7,7,7,7,132184,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial8,-0.17229697727081,False
8,8,8,8,8,8,8,8,132185,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial9,-0.294392045738613,True
9,9,9,9,9,9,9,9,132186,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial10,-0.112705828081763,False
10,10,10,10,10,10,10,10,132187,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial11,-0.203130963766209,False
11,11,11,11,11,11,11,11,132188,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial12,-0.187440384522165,False
12,12,12,12,12,12,12,12,132189,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial13,-0.1743778300291369,False
13,13,13,13,13,13,13,13,132190,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial14,0.0339958992848932,False
14,14,14,14,14,14,14,14,132191,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial15,-0.0586141087714185,False
15,15,15,15,15,15,15,15,132192,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial16,-0.107136218708934,False
16,16,16,16,16,16,16,16,132193,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial17,-0.2339112983572319,False
17,17,17,17,17,17,17,17,132194,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial18,-0.0106075260188199,False
18,18,18,18,18,18,18,18,132195,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial19,-0.0839445560470007,False
19,19,19,19,19,19,19,19,132196,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial20,0.0094771291152344,False
20,20,20,20,20,20,20,20,132197,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial21,-0.0891700290427426,False
21,21,21,21,21,21,21,21,132198,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial22,-0.21008940927429,False
22,22,22,22,22,22,22,22,132199,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial23,-0.0316662585190493,False
23,23,23,23,23,23,23,23,132200,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial24,0.12557045849563,False
24,24,24,24,24,24,24,24,132201,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial25,-0.14345795479039,False
25,25,25,25,25,25,25,25,132202,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial26,-0.133599177196426,False
26,26,26,26,26,26,26,26,132203,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial27,-0.2439012254435069,False
27,27,27,27,27,27,27,27,132204,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial28,0.0979047462612552,False
28,28,28,28,28,28,28,28,132205,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial29,-0.14345795479039,False
29,29,29,29,29,29,29,29,132206,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial30,-0.2170903453118829,False
30,30,30,30,30,30,30,30,132207,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial31,-0.0770508480991001,False
31,31,31,31,31,31,31,31,132208,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial32,-0.0702732753970916,False
32,32,32,32,32,32,32,32,132209,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial33,-0.0270320855759256,False
33,33,33,33,33,33,33,33,132210,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial34,-0.236384234991564,False
34,34,34,34,34,34,34,34,132211,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial35,-0.025548902895431,False
35,35,35,35,35,35,35,35,132212,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial36,0.0353245334705048,False
36,36,36,36,36,36,36,36,132213,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial37,-0.194082834788812,False
37,37,37,37,37,37,37,37,132214,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial38,0.0009675893569807,False
38,38,38,38,38,38,38,38,132215,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial39,0.1713086466503859,False
39,39,39,39,39,39,39,39,132216,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial40,-0.243825909907986,False
40,40,40,40,40,40,40,40,132217,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial41,-0.107081248202956,False
41,41,41,41,41,41,41,41,132218,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial42,-0.253985011346265,False
42,42,42,42,42,42,42,42,132219,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial43,-0.0473555792915961,False
43,43,43,43,43,43,43,43,132220,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial44,-0.0962604192875554,False
44,44,44,44,44,44,44,44,132221,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial45,-0.133599177196426,False
45,45,45,45,45,45,45,45,132222,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial46,-0.0669446253010197,False
46,46,46,46,46,46,46,46,132223,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial47,-0.163800350715773,False
47,47,47,47,47,47,47,47,132224,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial48,0.108076200845739,False
48,48,48,48,48,48,48,48,132225,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial49,0.1158051376556699,False
49,49,49,49,49,49,49,49,132226,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial50,-0.159685951167146,False
50,50,50,50,50,50,50,50,132227,CRB_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial51,0.0634039917569584,False
