,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
47471,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial1,-0.159287076075249
47472,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial2,-0.163494185071341
47473,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial3,-0.169876943080031
47474,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial4,-0.0417377436040365
47475,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial5,-0.119619565879621
47476,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial6,-0.157265916976367
47477,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial7,-0.115871351669989
47478,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial8,-0.0920925035084483
47479,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial9,-0.0578441534214265
47480,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial10,-0.137041849706053
47481,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial11,-0.0974564983058199
47482,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial12,-0.151125707828732
47483,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial13,-0.189418783552558
47484,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial14,0.0160659315734719
47485,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial15,0.079244040004907
47486,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial16,0.0174582019726679
47487,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial17,0.108240823414588
47488,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial18,0.141711751246776
47489,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial19,0.0851719486233793
47490,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial20,0.254526743122889
47491,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial21,0.319879465693248
47492,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial22,-0.189418783552558
47493,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial23,0.0377445676612842
47494,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial24,0.0596241199467746
47495,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial25,-0.0545992210643171
47496,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial26,-0.0369690832456571
47497,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial27,0.025692233589913
47498,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial28,-0.0307504830321093
47499,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial29,-0.0645245911102403
47500,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial30,-0.0448876432129888
47501,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial31,0.0403569028583042
47502,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial32,-0.00377881754765497
47503,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial33,-0.0497445412788231
47504,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial34,0.0147039829620494
47505,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial35,0.0174582019726679
47506,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial36,0.0804480764843127
47507,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial37,0.0899093790867869
47508,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial38,0.0174582019726679
47509,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial39,0.0507607890123669
47510,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial40,0.109367195065948
47511,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run20,Trial41,0.264033475165114
