,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,47587,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial1,-0.129216512194096,False
1,1,1,1,47588,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial2,-0.135052605953712,False
2,2,2,2,47589,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial3,-0.174123911078094,False
3,3,3,3,47590,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial4,-0.113985905533089,False
4,4,4,4,47591,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial5,-0.135111561289702,False
5,5,5,5,47592,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial6,-0.191662800598033,False
6,6,6,6,47593,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial7,-0.113985905533089,False
7,7,7,7,47594,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial8,-0.135052605953712,False
8,8,8,8,47595,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial9,-0.0052409796929677,False
9,9,9,9,47596,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial10,-0.153118426925908,False
10,10,10,10,47597,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial11,-0.174059415090365,False
11,11,11,11,47598,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial12,-0.163494185071341,False
12,12,12,12,47599,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial13,-0.0903073094068598,False
13,13,13,13,47600,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial14,-0.018566687771711,False
14,14,14,14,47601,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial15,-0.169813074678939,False
15,15,15,15,47602,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial16,-0.159349414996203,False
16,16,16,16,47603,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial17,-0.131179143005647,False
17,17,17,17,47604,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial18,-0.121539207634032,False
18,18,18,18,47605,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial19,-0.0695483061437128,False
19,19,19,19,47606,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial20,-0.121539207634032,False
20,20,20,20,47607,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial21,-0.159287076075249,False
21,21,21,21,47608,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial22,-0.18066601715423,False
22,22,22,22,47609,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial23,-0.119676462837897,False
23,23,23,23,47610,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial24,-0.0815245218562213,False
24,24,24,24,47611,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial25,-0.0885294234248795,False
25,25,25,25,47612,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial26,-0.0678532412063122,False
26,26,26,26,47613,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial27,-0.0885294234248795,False
27,27,27,27,47614,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial28,-0.141037920599611,False
28,28,28,28,47615,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial29,-0.101093887411353,False
29,29,29,29,47616,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial30,-0.0401397330330884,False
30,30,30,30,47617,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial31,-0.149071051787913,False
31,31,31,31,47618,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial32,-0.123457805672059,False
32,32,32,32,47619,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial33,-0.0849865826849947,False
33,33,33,33,47620,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial34,0.0310469680087579,False
34,34,34,34,47621,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial35,0.0323921038139781,False
35,35,35,35,47622,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial36,-0.0746308139083207,False
36,36,36,36,47623,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial37,-0.0815245218562213,False
37,37,37,37,47624,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial38,-0.0885294234248795,False
38,38,38,38,47625,DLC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial39,0.0174582019726679,False
