,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,48027,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial1,-0.0013333717650381,False
1,1,1,1,1,1,1,1,48028,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial2,-0.14657801894115,False
2,2,2,2,2,2,2,2,48029,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial3,-0.1668971027368919,False
3,3,3,3,3,3,3,3,48030,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial4,-0.142600293694401,False
4,4,4,4,4,4,4,4,48031,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial5,-0.0754009289470008,False
5,5,5,5,5,5,5,5,48032,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial6,-0.108587061200267,False
6,6,6,6,6,6,6,6,48033,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial7,-0.164751564125264,False
7,7,7,7,7,7,7,7,48034,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial8,-0.261625390880544,False
8,8,8,8,8,8,8,8,48035,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial9,-0.108587061200267,False
9,9,9,9,9,9,9,9,48036,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial10,-0.035195091639602,False
10,10,10,10,10,10,10,10,48037,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial11,-0.190347028007416,False
11,11,11,11,11,11,11,11,48038,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial12,-0.144648763459775,False
12,12,12,12,12,12,12,12,48039,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial13,-0.219699660437503,False
13,13,13,13,13,13,13,13,48040,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial14,-0.108587061200267,False
14,14,14,14,14,14,14,14,48041,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial15,-0.1140542119640269,False
15,15,15,15,15,15,15,15,48042,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial16,-0.222147191902818,False
16,16,16,16,16,16,16,16,48043,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial17,-0.285628751222414,True
17,17,17,17,17,17,17,17,48044,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial18,-0.334632131221344,True
18,18,18,18,18,18,18,18,48045,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial19,-0.125322148630952,False
19,19,19,19,19,19,19,19,48046,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial20,-0.162729762971255,False
20,20,20,20,20,20,20,20,48047,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial21,-0.168928004265683,False
21,21,21,21,21,21,21,21,48048,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial22,-0.246438011250563,False
22,22,22,22,22,22,22,22,48049,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial23,-0.2294056318766359,False
23,23,23,23,23,23,23,23,48050,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial24,-0.194789385006948,False
24,24,24,24,24,24,24,24,48051,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial25,-0.0890722095969099,False
25,25,25,25,25,25,25,25,48052,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial26,-0.208258617316118,False
26,26,26,26,26,26,26,26,48053,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial27,-0.177296903409798,False
27,27,27,27,27,27,27,27,48054,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial28,-0.322674235837888,True
28,28,28,28,28,28,28,28,48055,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial29,-0.148515882961466,False
29,29,29,29,29,29,29,29,48056,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial30,-0.1233626387506249,False
30,30,30,30,30,30,30,30,48057,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial31,-0.144530319509431,False
31,31,31,31,31,31,31,31,48058,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial32,-0.119600383098023,False
32,32,32,32,32,32,32,32,48059,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial33,-0.158602031788621,False
33,33,33,33,33,33,33,33,48060,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial34,-0.087269292026086,False
34,34,34,34,34,34,34,34,48061,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial35,-0.140688589031463,False
35,35,35,35,35,35,35,35,48062,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial36,-0.179505483579046,False
36,36,36,36,36,36,36,36,48063,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial37,-0.239038951907141,False
37,37,37,37,37,37,37,37,48064,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial38,-0.241437865278655,False
38,38,38,38,38,38,38,38,48065,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial39,-0.17110481860269,False
39,39,39,39,39,39,39,39,48066,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial40,-0.0978549971475484,False
40,40,40,40,40,40,40,40,48067,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial41,-0.1505925134062889,False
41,41,41,41,41,41,41,41,48068,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial42,-0.0961300771369618,False
42,42,42,42,42,42,42,42,48069,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial43,-0.217557650888528,False
43,43,43,43,43,43,43,43,48070,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial44,-0.203812789264712,False
44,44,44,44,44,44,44,44,48071,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial45,-0.0687689472631132,False
45,45,45,45,45,45,45,45,48072,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial46,-0.132874955223088,False
46,46,46,46,46,46,46,46,48073,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial47,-0.1086960959474309,False
47,47,47,47,47,47,47,47,48074,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial48,-0.179505483579046,False
48,48,48,48,48,48,48,48,48075,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial49,-0.119712218587543,False
49,49,49,49,49,49,49,49,48076,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial50,0.0029743699214321,False
50,50,50,50,50,50,50,50,48077,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial51,0.0379807296142265,False
51,51,51,51,51,51,51,51,48078,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial52,-0.138668406789578,False
52,52,52,52,52,52,52,52,48079,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial53,-0.194789385006948,False
53,53,53,53,53,53,53,53,48080,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial54,-0.0492854313447251,False
54,54,54,54,54,54,54,54,48081,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial55,0.258800091131204,False
55,55,55,55,55,55,55,55,48082,DLC_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial56,0.2461970881073439,False
