,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,133721,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial1,0.181044798316381,False
1,1,1,1,133722,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial2,-0.106381737834619,False
2,2,2,2,133723,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial3,-0.229012941215695,False
3,3,3,3,133724,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial4,-0.0738514121330924,False
4,4,4,4,133725,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial5,-0.329469178191791,True
5,5,5,5,133726,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial6,-0.206005430692624,False
6,6,6,6,133727,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial7,-0.159343356475266,False
7,7,7,7,133728,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial8,-0.102872053519471,False
8,8,8,8,133729,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial9,0.0351288126509051,False
9,9,9,9,133730,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial10,-0.224352593242431,False
10,10,10,10,133731,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial11,-0.14167290013495,False
11,11,11,11,133732,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial12,-0.149454191384294,False
12,12,12,12,133733,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial13,-0.224282541979001,False
13,13,13,13,133734,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial14,0.0825514688604883,False
14,14,14,14,133735,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial15,0.116842357863985,False
15,15,15,15,133736,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial16,0.0600758660210237,False
16,16,16,16,133737,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial17,-0.155310825315369,False
17,17,17,17,133738,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial18,0.124220005730343,False
18,18,18,18,133739,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial19,0.0490555966357866,False
19,19,19,19,133740,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial20,-0.0269395402687409,False
20,20,20,20,133741,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial21,-0.145463349143481,False
21,21,21,21,133742,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial22,-0.0404964666727312,False
22,22,22,22,133743,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial23,-0.0738514121330924,False
23,23,23,23,133744,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial24,-0.0080857341412703,False
24,24,24,24,133745,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial25,0.218834124363077,False
25,25,25,25,133746,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial26,-0.0755141574448221,False
26,26,26,26,133747,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial27,0.0234019375666925,False
27,27,27,27,133748,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial28,-0.109982821708629,False
28,28,28,28,133749,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial29,0.0299198015075319,False
29,29,29,29,133750,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial30,-0.0254524443129216,False
30,30,30,30,133751,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial31,-0.126451239596832,False
31,31,31,31,133752,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial32,0.0286501145639826,False
32,32,32,32,133753,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial33,0.22052679113383,False
33,33,33,33,133754,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial34,0.0802241071048684,False
34,34,34,34,133755,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial35,0.192851448315994,False
35,35,35,35,133756,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial36,0.0994789063976067,False
36,36,36,36,133757,DLC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial37,0.311013518098312,False
