,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
133166,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial1,0.0113975667028146
133167,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial2,-0.161496417922719
133168,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial3,-0.152024724161838
133169,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial4,-0.0877685015134917
133170,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial5,-0.167264690718574
133171,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial6,-0.0877685015134917
133172,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial7,-0.167254996753508
133173,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial8,-0.142764363042633
133174,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial9,0.020306386020537
133175,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial10,-0.0551147111537809
133176,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial11,0.0139598212589993
133177,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial12,0.0530302308291604
133178,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial13,0.121978760628598
133179,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial14,0.0690745956190177
133180,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial15,0.0576751358749239
133181,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial16,0.0834601866340114
133182,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial17,0.0899423141619313
133183,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial18,0.136654203129065
133184,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial19,0.0253127179064427
133185,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial20,0.0984320847693927
133186,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial21,0.0114232642210186
133187,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial22,0.079089883937435
133188,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial23,0.0757733579677202
133189,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial24,0.100545852460549
133190,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial25,0.312430774639727
133191,DLC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial26,0.271365937557773
