,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,7162,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial1,0.0821343446181406,False
1,1,1,1,7163,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial2,-0.137476361790381,False
2,2,2,2,7164,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial3,-0.0905940595735402,False
3,3,3,3,7165,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial4,-0.113370963650712,False
4,4,4,4,7166,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial5,-0.397634619609624,True
5,5,5,5,7167,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial6,-0.130733112592713,False
6,6,6,6,7168,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial7,-0.43170772132342,True
7,7,7,7,7169,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial8,-0.358583150266301,True
8,8,8,8,7170,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial9,-0.299187105700071,True
9,9,9,9,7171,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial10,-0.578079512361831,True
10,10,10,10,7172,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial11,-0.514564209750184,True
11,11,11,11,7173,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial12,0.0526197180546695,False
12,12,12,12,7174,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial13,-0.44991766728505,True
13,13,13,13,7175,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial14,0.0363625283589935,False
14,14,14,14,7176,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial15,-0.659482122919987,True
15,15,15,15,7177,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial16,-0.454446084324533,True
16,16,16,16,7178,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial17,-0.478638461859187,True
17,17,17,17,7179,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial18,-0.431840661832158,True
18,18,18,18,7180,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial19,-0.187506597615577,False
19,19,19,19,7181,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial20,-0.597044857792686,True
20,20,20,20,7182,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial21,-0.44991766728505,True
21,21,21,21,7183,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial22,-0.520013870358482,True
22,22,22,22,7184,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial23,-0.427387224902481,True
23,23,23,23,7185,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial24,-0.326112406491975,True
24,24,24,24,7186,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial25,-0.488523968256464,True
25,25,25,25,7187,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial26,-0.520013870358482,True
26,26,26,26,7188,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial27,-0.463957165500302,True
27,27,27,27,7189,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial28,-0.493654590259931,True
28,28,28,28,7190,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial29,-0.440705949807966,True
29,29,29,29,7191,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial30,-0.468804038202156,True
30,30,30,30,7192,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial31,-0.423131006694472,True
31,31,31,31,7193,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial32,-0.44991766728505,True
32,32,32,32,7194,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial33,-0.519851009925859,True
33,33,33,33,7195,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial34,-0.235529900519606,False
34,34,34,34,7196,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial35,-0.336626992375781,True
35,35,35,35,7197,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial36,-0.427387224902481,True
36,36,36,36,7198,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial37,-0.299089151903271,True
37,37,37,37,7199,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial38,-0.202875089755638,False
38,38,38,38,7200,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial39,-0.249879874209619,False
39,39,39,39,7201,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial40,-0.493501318868927,True
40,40,40,40,7202,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial41,-0.478638461859187,True
41,41,41,41,7203,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial42,-0.283143333098795,True
42,42,42,42,7204,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial43,0.237852540812588,False
43,43,43,43,7205,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial44,-0.109102496687769,False
44,44,44,44,7206,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial45,-0.459329014262012,True
45,45,45,45,7207,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial46,-0.38168896035484,True
46,46,46,46,7208,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial47,-0.347511954975618,True
47,47,47,47,7209,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial48,-0.264629769112911,False
48,48,48,48,7210,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial49,-0.264629769112911,False
49,49,49,49,7211,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial50,-0.440841673903629,True
50,50,50,50,7212,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial51,-0.36617471593414,True
51,51,51,51,7213,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial52,-0.208178571452333,False
52,52,52,52,7214,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial53,-0.11551568481013,False
53,53,53,53,7215,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial54,-0.195122866127258,False
54,54,54,54,7216,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial55,-0.405968201160748,True
55,55,55,55,7217,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial56,-0.100761765356348,False
56,56,56,56,7218,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial57,-0.377601637654318,True
57,57,57,57,7219,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial58,-0.155850691097017,False
58,58,58,58,7220,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial59,0.0225662173841346,False
59,59,59,59,7221,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial60,-0.397634619609624,True
60,60,60,60,7222,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial61,0.247209513656083,False
61,61,61,61,7223,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial62,0.0584345419169763,False
62,62,62,62,7224,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial63,-0.261684369641488,False
63,63,63,63,7225,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial64,0.449130938510414,False
64,64,64,64,7226,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial65,-0.0131061951154852,False
65,65,65,65,7227,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial66,-0.0063569534259655,False
66,66,66,66,7228,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial67,-0.121970709654805,False
67,67,67,67,7229,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial68,-0.577893359559194,True
68,68,68,68,7230,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial69,-0.238288412879065,False
69,69,69,69,7231,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial70,-0.610109062857175,True
70,70,70,70,7232,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial71,-0.423131006694472,True
71,71,71,71,7233,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial72,-0.630560688153081,True
72,72,72,72,7234,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial73,-0.473681212729534,True
73,73,73,73,7235,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial74,-0.329618246565138,True
74,74,74,74,7236,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run24,Trial75,-0.536559896183587,True
