,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
49120,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial1,0.196813034887821
49121,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial2,-0.0691498517683771
49122,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial3,-0.129702235106092
49123,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial4,-0.0584159240753719
49124,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial5,-0.0648609421634383
49125,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial6,0.0514188154932289
49126,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial7,-0.0959975132666502
49127,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial8,0.0546637478503382
49128,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial9,-0.152770262345747
49129,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial10,-0.152770262345747
49130,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial11,0.140350150616634
49131,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial12,-0.0937512468643447
49132,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial13,-0.155357713565905
49133,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial14,0.0431065864500795
49134,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial15,0.0861796563717165
49135,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial16,0.0118064706088354
49136,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial17,-0.152770262345747
49137,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial18,-0.0257896370390567
49138,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial19,-0.0161219482778154
49139,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial20,-0.0713375734193233
49140,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial21,-0.174260418083032
49141,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial22,-0.197059016323192
49142,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial23,-0.0584159240753719
49143,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial24,-0.139714321824478
49144,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial25,-0.142302008240831
49145,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial26,-0.208863511755061
49146,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial27,-0.233496844910013
49147,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial28,0.14700753657594
49148,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial29,-0.0648609421634383
49149,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial30,-0.262923738753832
49150,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial31,-0.236710556011812
49151,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial32,-0.287416191297154
49152,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial33,-0.230322475212367
49153,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial34,-0.160632933777663
49154,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial35,-0.230322475212367
49155,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial36,-0.256341735507986
49156,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial37,-0.340838078537239
49157,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial38,-0.0438554580112531
49158,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial39,-0.0648609421634383
49159,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial40,-0.263025522547564
49160,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial41,0.0891833862454212
49161,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial42,0.0815695275447812
49162,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial43,0.143002716333385
49163,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial44,-0.150132718823984
49164,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial45,-0.171571962521585
49165,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial46,-0.221013251077596
49166,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial47,-0.298393169780474
49167,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial48,-0.294581615684828
49168,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial49,0.0643274238138387
49169,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial50,-0.137230849302214
49170,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial51,0.0675252253106189
49171,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial52,0.0189556595077955
49172,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial53,-0.142302008240831
49173,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial54,-0.0692149975694298
49174,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial55,-0.11011824262533
49175,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial56,-0.246366247813643
49176,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial57,-0.194037926175469
49177,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial58,-0.243080558533139
49178,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial59,-0.11011824262533
49179,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial60,-0.196971574480902
49180,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial61,-0.197059016323192
49181,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial62,-0.246366247813643
49182,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial63,-0.243080558533139
49183,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial64,-0.0915165388879196
