,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,49487,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial1,0.183681465030271,False
1,1,1,1,1,1,1,1,49488,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial2,-0.1743572368663219,False
2,2,2,2,2,2,2,2,49489,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial3,-0.0417913751332768,False
3,3,3,3,3,3,3,3,49490,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial4,-0.182709042633178,False
4,4,4,4,4,4,4,4,49491,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial5,-0.550591828862018,True
5,5,5,5,5,5,5,5,49492,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial6,0.108357719726269,False
6,6,6,6,6,6,6,6,49493,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial7,-0.16881809456707,False
7,7,7,7,7,7,7,7,49494,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial8,-0.127188330463925,False
8,8,8,8,8,8,8,8,49495,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial9,-0.0258485923750471,False
9,9,9,9,9,9,9,9,49496,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial10,-0.137230849302214,False
10,10,10,10,10,10,10,10,49497,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial11,-0.344936669459095,True
11,11,11,11,11,11,11,11,49498,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial12,-0.5994231654444561,True
12,12,12,12,12,12,12,12,49499,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial13,-0.16881809456707,False
13,13,13,13,13,13,13,13,49500,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial14,0.0861341002100038,False
14,14,14,14,14,14,14,14,49501,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial15,-0.208863511755061,False
15,15,15,15,15,15,15,15,49502,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial16,-0.383362673599025,True
16,16,16,16,16,16,16,16,49503,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial17,-0.662418548225495,True
17,17,17,17,17,17,17,17,49504,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial18,-0.298282751249797,True
18,18,18,18,18,18,18,18,49505,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial19,-0.105407342206448,False
19,19,19,19,19,19,19,19,49506,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial20,-0.2430805585331389,False
20,20,20,20,20,20,20,20,49507,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial21,-0.328749658518068,True
21,21,21,21,21,21,21,21,49508,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial22,-0.5640555182115451,True
22,22,22,22,22,22,22,22,49509,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial23,-0.3094281983518969,True
23,23,23,23,23,23,23,23,49510,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial24,-0.112522986744419,False
24,24,24,24,24,24,24,24,49511,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial25,-0.117384925550997,False
25,25,25,25,25,25,25,25,49512,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial26,-0.100746994233184,False
26,26,26,26,26,26,26,26,49513,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial27,-0.768033010234606,True
27,27,27,27,27,27,27,27,49514,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial28,-0.273291548605547,False
28,28,28,28,28,28,28,28,49515,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial29,-0.194124779281932,False
29,29,29,29,29,29,29,29,49516,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial30,-0.217821474566001,False
30,30,30,30,30,30,30,30,49517,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial31,-0.328749658518068,True
31,31,31,31,31,31,31,31,49518,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial32,-0.3573854196765561,True
32,32,32,32,32,32,32,32,49519,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial33,-0.233496844910013,False
33,33,33,33,33,33,33,33,49520,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial34,-0.1030298332105899,False
34,34,34,34,34,34,34,34,49521,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial35,-0.35314734327432,True
35,35,35,35,35,35,35,35,49522,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial36,0.102547576287151,False
36,36,36,36,36,36,36,36,49523,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial37,-0.495082396151035,True
37,37,37,37,37,37,37,37,49524,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial38,-0.0397472018916059,False
38,38,38,38,38,38,38,38,49525,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial39,-0.0277788807913972,False
39,39,39,39,39,39,39,39,49526,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial40,-0.163429638558021,False
40,40,40,40,40,40,40,40,49527,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial41,-0.2909298469724,True
41,41,41,41,41,41,41,41,49528,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial42,-0.506878701493148,True
42,42,42,42,42,42,42,42,49529,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial43,-0.27679738867871,True
43,43,43,43,43,43,43,43,49530,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial44,0.0189556595077955,False
44,44,44,44,44,44,44,44,49531,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial45,0.114091158093154,False
45,45,45,45,45,45,45,45,49532,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial46,-0.158027279330597,False
46,46,46,46,46,46,46,46,49533,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial47,-0.495082396151035,True
47,47,47,47,47,47,47,47,49534,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial48,-0.269813782929962,False
48,48,48,48,48,48,48,48,49535,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial49,-0.0735363713520725,False
49,49,49,49,49,49,49,49,49536,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial50,-0.246366247813643,False
50,50,50,50,50,50,50,50,49537,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial51,-0.196971574480902,False
51,51,51,51,51,51,51,51,49538,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial52,-0.221013251077596,False
52,52,52,52,52,52,52,52,49539,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial53,-0.269917194585797,False
53,53,53,53,53,53,53,53,49540,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial54,0.0063845191807248,False
54,54,54,54,54,54,54,54,49541,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run31,Trial55,-0.252897114972601,False
