,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
93302,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial1,0.169914828807095
93303,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial2,-0.13915671530484
93304,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial3,0.0746998809573447
93305,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial4,-0.0235961227360044
93306,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial5,-0.00281551079421538
93307,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial6,-0.101370089674916
93308,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial7,-0.125475487814585
93309,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial8,-0.0785931855977444
93310,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial9,-0.0218111476570981
93311,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial10,-0.0436656244982165
93312,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial11,-0.0806280667838899
93313,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial12,-0.220689847353944
93314,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial13,-0.243689439106124
93315,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial14,-0.0113910826200452
93316,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial15,-0.188331080812895
93317,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial16,-0.132267944571407
93318,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial17,-0.240818522538571
93319,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial18,-0.317512309816012
93320,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial19,-0.00791819047746989
93321,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial20,-0.163048279162429
93322,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial21,-0.12768638888958
93323,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial22,-0.283900542443771
93324,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial23,-0.258733201141179
93325,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial24,-0.130033656519589
93326,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial25,-0.0826113590439088
93327,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial26,-0.324626118399985
93328,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial27,-0.293816559431453
93329,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial28,-0.264846980786948
93330,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial29,-0.0992994632761519
93331,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial30,-0.246683563093176
93332,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial31,-0.246683563093176
93333,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial32,-0.381536309017888
93334,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial33,-0.196257148856197
93335,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial34,-0.175505723639781
93336,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial35,-0.220689847353944
93337,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial36,-0.324732916502553
93338,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial37,-0.317512309816012
93339,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial38,-0.342817124581391
93340,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial39,0.123017259015312
93341,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial40,-0.114356355262704
93342,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial41,-0.175505723639781
93343,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial42,-0.451956291524506
93344,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial43,0.00564392054983021
93345,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial44,0.106187552665308
93346,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial45,-0.246683563093176
93347,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial46,-0.419839787856362
93348,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial47,-0.41099983134299
93349,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial48,-0.310633766840594
93350,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial49,-0.168008314374557
93351,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial50,-0.339102735160429
93352,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial51,-0.51350441612371
93353,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial52,-0.274316828820645
93354,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial53,-0.223444426469149
93355,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial54,-0.10568092607407
93356,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial55,-0.398205403587188
93357,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial56,-0.461533955577732
93358,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial57,-0.381536309017888
93359,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial58,-0.373674741956145
93360,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial59,-0.33540159959546
93361,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial60,-0.0607735271900727
93362,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial61,-0.237879000233824
93363,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial62,-0.442445210348738
93364,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial63,-0.398205403587188
93365,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial64,-0.0908440910712258
93366,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial65,0.112744425092572
93367,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial66,-0.437916793309255
93368,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial67,-0.300431835224987
93369,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial68,-0.226372694684307
93370,DSL_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run23,Trial69,0.0376461343628551
