,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,92620,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial1,0.0675521642037413,False
1,1,1,1,92621,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial2,-0.129988178276508,False
2,2,2,2,92622,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial3,-0.134548252230955,False
3,3,3,3,92623,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial4,-0.11876547416776,False
4,4,4,4,92624,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial5,-0.160601543215341,False
5,5,5,5,92625,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial6,-0.146203722514699,False
6,6,6,6,92626,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial7,-0.188305074376652,False
7,7,7,7,92627,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial8,-0.170459817694447,False
8,8,8,8,92628,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial9,-0.153342970655051,False
9,9,9,9,92629,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial10,-0.136852146028991,False
10,10,10,10,92630,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial11,-0.0272151526629876,False
11,11,11,11,92631,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial12,-0.114356355262704,False
12,12,12,12,92632,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial13,-0.175480473960593,False
13,13,13,13,92633,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial14,0.0154978486196566,False
14,14,14,14,92634,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial15,-0.112179381173271,False
15,15,15,15,92635,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial16,-0.0992782771459999,False
16,16,16,16,92636,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial17,-0.141520276046085,False
17,17,17,17,92637,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial18,-0.183160539569222,False
18,18,18,18,92638,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial19,0.0602775015281813,False
19,19,19,19,92639,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial20,-0.141496926880386,False
20,20,20,20,92640,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial21,-0.0607735271900727,False
21,21,21,21,92641,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial22,-0.134536763414852,False
22,22,22,22,92642,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial23,-0.155761104324093,False
23,23,23,23,92643,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial24,-0.10568092607407,False
24,24,24,24,92644,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial25,-0.165484202588241,False
25,25,25,25,92645,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial26,0.103519566496873,False
26,26,26,26,92646,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial27,-0.0455148414470266,False
27,27,27,27,92647,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial28,-0.136886797645273,False
28,28,28,28,92648,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial29,-0.0399536832524992,False
29,29,29,29,92649,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial30,-0.129965440940731,False
30,30,30,30,92650,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial31,0.0056189618140454,False
31,31,31,31,92651,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial32,-0.125475487814585,False
32,32,32,32,92652,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial33,-0.188331080812895,False
33,33,33,33,92653,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial34,-0.0344354647299072,False
34,34,34,34,92654,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial35,0.166458764889005,False
35,35,35,35,92655,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial36,0.0122243284125725,False
36,36,36,36,92656,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial37,0.0187468789543699,False
37,37,37,37,92657,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial38,-0.165521215796761,False
38,38,38,38,92658,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial39,0.0345904407348536,False
39,39,39,39,92659,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial40,-0.0588293765316177,False
40,40,40,40,92660,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial41,-0.049303150793655,False
41,41,41,41,92661,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial42,-0.103514810834334,False
42,42,42,42,92662,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial43,-0.143849817121222,False
43,43,43,43,92663,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial44,-0.0627361580016235,False
44,44,44,44,92664,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial45,-0.101370089674916,False
45,45,45,45,92665,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial46,-0.0272241259675718,False
46,46,46,46,92666,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial47,-0.170447338505851,False
47,47,47,47,92667,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial48,-0.172962890713183,False
48,48,48,48,92668,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial49,0.0298639329386012,False
49,49,49,49,92669,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial50,-0.0785931855977444,False
50,50,50,50,92670,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial51,0.0314503842188851,False
51,51,51,51,92671,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial52,-0.0950512000673176,False
52,52,52,52,92672,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial53,-0.116577365327362,False
53,53,53,53,92673,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial54,0.0022866025394474,False
54,54,54,54,92674,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial55,-0.0044728495956887,False
55,55,55,55,92675,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial56,0.0267290172961525,False
56,56,56,56,92676,DSL_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial57,0.100875178156195,False
