,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,135375,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial1,-0.216838477307818,False
1,1,1,1,1,1,1,1,135376,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial2,0.0083944353234568,False
2,2,2,2,2,2,2,2,135377,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial3,-0.0417275192801458,False
3,3,3,3,3,3,3,3,135378,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial4,-0.0983980337364349,False
4,4,4,4,4,4,4,4,135379,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial5,-0.246221261607445,False
5,5,5,5,5,5,5,5,135380,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial6,-0.32606201940437,True
6,6,6,6,6,6,6,6,135381,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial7,-0.197438929782353,False
7,7,7,7,7,7,7,7,135382,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial8,-0.136778264521629,False
8,8,8,8,8,8,8,8,135383,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial9,-0.393014892144537,True
9,9,9,9,9,9,9,9,135384,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial10,-0.384518265589501,True
10,10,10,10,10,10,10,10,135385,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial11,-0.487758631545067,True
11,11,11,11,11,11,11,11,135386,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial12,-0.3681487284418351,True
12,12,12,12,12,12,12,12,135387,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial13,-0.122818882975955,False
13,13,13,13,13,13,13,13,135388,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial14,-0.4773707573781189,True
14,14,14,14,14,14,14,14,135389,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial15,-0.503890422132364,True
15,15,15,15,15,15,15,15,135390,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial16,-0.493114274178937,True
16,16,16,16,16,16,16,16,135391,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial17,-0.3081683109938909,True
17,17,17,17,17,17,17,17,135392,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial18,-0.143893909059599,False
18,18,18,18,18,18,18,18,135393,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial19,-0.623421233545141,True
19,19,19,19,19,19,19,19,135394,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial20,-0.423848878639936,True
20,20,20,20,20,20,20,20,135395,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial21,-0.492953444224536,True
21,21,21,21,21,21,21,21,135396,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial22,-0.3371332146950539,True
22,22,22,22,22,22,22,22,135397,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial23,-0.163513829117732,False
23,23,23,23,23,23,23,23,135398,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial24,-0.4773707573781189,True
24,24,24,24,24,24,24,24,135399,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial25,-0.602300875578911,True
25,25,25,25,25,25,25,25,135400,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial26,-0.4473541026309079,True
26,26,26,26,26,26,26,26,135401,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial27,-0.2284299386383719,False
27,27,27,27,27,27,27,27,135402,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial28,0.0150430632392609,False
28,28,28,28,28,28,28,28,135403,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial29,-0.5443003103647429,True
29,29,29,29,29,29,29,29,135404,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial30,-0.405937289331234,True
30,30,30,30,30,30,30,30,135405,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial31,-0.252291773587761,False
31,31,31,31,31,31,31,31,135406,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial32,-0.301184705245143,True
32,32,32,32,32,32,32,32,135407,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial33,0.0167205192492443,False
33,33,33,33,33,33,33,33,135408,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial34,-0.7784266092908441,True
34,34,34,34,34,34,34,34,135409,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial35,-0.393014892144537,True
35,35,35,35,35,35,35,35,135410,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial36,-0.5954264405267261,True
36,36,36,36,36,36,36,36,135411,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial37,-0.405937289331234,True
37,37,37,37,37,37,37,37,135412,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial38,-0.143893909059599,False
38,38,38,38,38,38,38,38,135413,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial39,-0.401550769747539,True
39,39,39,39,39,39,39,39,135414,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial40,-0.33336806298594,True
40,40,40,40,40,40,40,40,135415,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial41,-0.504055354528258,True
41,41,41,41,41,41,41,41,135416,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial42,-0.5382496238083279,True
42,42,42,42,42,42,42,42,135417,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial43,-0.0436471610345577,False
43,43,43,43,43,43,43,43,135418,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial44,-0.493114274178937,True
44,44,44,44,44,44,44,44,135419,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial45,-0.401550769747539,True
45,45,45,45,45,45,45,45,135420,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial46,-0.509644949708109,True
46,46,46,46,46,46,46,46,135421,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial47,0.0066844456799333,False
47,47,47,47,47,47,47,47,135422,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial48,0.0265704125334132,False
48,48,48,48,48,48,48,48,135423,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial49,-0.4621780465091579,True
49,49,49,49,49,49,49,49,135424,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial50,-0.261693397527547,False
50,50,50,50,50,50,50,50,135425,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial51,-0.261693397527547,False
51,51,51,51,51,51,51,51,135426,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial52,0.1375161665462489,False
52,52,52,52,52,52,52,52,135427,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial53,0.2026643723666388,False
53,53,53,53,53,53,53,53,135428,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial54,-0.268081478326992,False
54,54,54,54,54,54,54,54,135429,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial55,-0.115958922802299,False
55,55,55,55,55,55,55,55,135430,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial56,-0.462028272574381,True
56,56,56,56,56,56,56,56,135431,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial57,-0.2648677672251939,False
57,57,57,57,57,57,57,57,135432,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial58,-0.171085244139659,False
58,58,58,58,58,58,58,58,135433,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial59,-0.452231277158287,True
59,59,59,59,59,59,59,59,135434,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial60,-0.37220900085242,True
60,60,60,60,60,60,60,60,135435,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial61,-0.47205138329768,True
61,61,61,61,61,61,61,61,135436,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial62,-0.3259525380000079,True
62,62,62,62,62,62,62,62,135437,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial63,-0.21970032491845,False
63,63,63,63,63,63,63,63,135438,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial64,-0.498563934787235,True
64,64,64,64,64,64,64,64,135439,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial65,-0.3409124099547699,True
65,65,65,65,65,65,65,65,135440,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial66,-0.520816039418574,True
66,66,66,66,66,66,66,66,135441,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial67,-0.423848878639936,True
67,67,67,67,67,67,67,67,135442,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial68,-0.1736729305560109,False
68,68,68,68,68,68,68,68,135443,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial69,-0.5954264405267261,True
69,69,69,69,69,69,69,69,135444,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial70,-0.284268037287782,True
70,70,70,70,70,70,70,70,135445,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial71,-0.3081683109938909,True
71,71,71,71,71,71,71,71,135446,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial72,-0.33336806298594,True
72,72,72,72,72,72,72,72,135447,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial73,-0.1609982769104,False
73,73,73,73,73,73,73,73,135448,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial74,-0.4722046546886839,True
74,74,74,74,74,74,74,74,135449,DSL_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run23,Trial75,-0.176263202202921,False
