,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,10399,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial1,0.086430525964881,False
1,1,1,1,10400,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial2,-0.588086495019785,True
2,2,2,2,10401,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial3,-0.439283332364115,True
3,3,3,3,10402,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial4,0.0850711434257381,False
4,4,4,4,10403,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial5,-0.203562673624939,False
5,5,5,5,10404,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial6,-0.106709663727196,False
6,6,6,6,10405,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial7,-0.675423122062778,True
7,7,7,7,10406,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial8,0.0155250627631518,False
8,8,8,8,10407,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial9,-0.37022988812787,True
9,9,9,9,10408,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial10,-0.636917831602222,True
10,10,10,10,10409,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial11,-0.51001416597495,True
11,11,11,11,10410,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial12,-0.651783277762474,True
12,12,12,12,10411,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial13,-0.521233704454926,True
13,13,13,13,10412,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial14,-0.726409753743286,True
14,14,14,14,10413,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial15,-0.76419420244337,True
15,15,15,15,10414,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial16,-0.521064520782391,True
16,16,16,16,10415,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial17,-0.65950820076517,True
17,17,17,17,10416,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial18,-0.976171643583919,True
18,18,18,18,10417,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial19,-0.50468767862982,True
19,19,19,19,10418,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial20,-0.700168631651104,True
20,20,20,20,10419,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial21,-0.745032818197332,True
21,21,21,21,10420,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial22,-0.64438056627318,True
22,22,22,22,10421,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial23,-0.532577062308802,True
23,23,23,23,10422,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial24,-0.208984170310969,False
24,24,24,24,10423,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial25,-0.169637572960318,False
25,25,25,25,10424,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial26,0.172093083208924,False
26,26,26,26,10425,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial27,-0.581524205844998,True
27,27,27,27,10426,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial28,-0.675181847344403,True
28,28,28,28,10427,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial29,-0.13817160912752,False
29,29,29,29,10428,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial30,-0.0167611206679905,False
30,30,30,30,10429,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial31,0.0546718177511543,False
31,31,31,31,10430,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial32,-0.521233704454926,True
32,32,32,32,10431,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial33,-0.0292710707026891,False
33,33,33,33,10432,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial34,-0.0652735469491637,False
34,34,34,34,10433,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial35,-0.499238018021523,True
35,35,35,35,10434,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial36,-0.851273106400085,True
36,36,36,36,10435,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial37,-0.65950820076517,True
37,37,37,37,10436,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial38,-0.76419420244337,True
38,38,38,38,10437,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial39,-0.65950820076517,True
39,39,39,39,10438,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial40,-0.581524205844998,True
40,40,40,40,10439,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial41,-0.827627005046334,True
41,41,41,41,10440,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial42,-0.636697022607429,True
42,42,42,42,10441,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial43,-0.827969778925141,True
43,43,43,43,10442,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial44,-0.581718666064024,True
44,44,44,44,10443,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial45,-0.675423122062778,True
45,45,45,45,10444,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial46,-0.795071288348731,True
46,46,46,46,10445,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial47,-0.18762738498175,False
47,47,47,47,10446,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial48,-0.190185963477343,False
48,48,48,48,10447,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial49,-0.568847137034115,True
49,49,49,49,10448,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial50,-0.24930357738425,False
50,50,50,50,10449,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial51,-0.47832839853127,True
51,51,51,51,10450,EGW_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial52,-0.805527676392373,True
