,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
51196,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial1,0.17487451767741
51197,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial2,-0.761892214697222
51198,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial3,0.178437063033997
51199,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial4,0.0698143898079508
51200,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial5,-0.120243869928006
51201,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial6,-0.540095182196962
51202,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial7,0.0381832011993599
51203,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial8,-0.167527825041135
51204,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial9,-0.129777648135019
51205,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial10,-0.677510493214896
51206,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial11,-0.793973482308663
51207,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial12,-0.295080018383241
51208,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial13,-0.385016375153917
51209,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial14,-0.450539638091594
51210,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial15,-0.636850062328961
51211,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial16,-0.00303005711272286
51212,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial17,-0.498575566018718
51213,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial18,-0.305874939267952
51214,EGW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run21,Trial19,-0.0711181665228997
