,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,52089,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial1,0.0270403188457737,False
1,1,1,1,52090,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial2,-0.0253984529501241,False
2,2,2,2,52091,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial3,-0.120881557107928,False
3,3,3,3,52092,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial4,0.0674528906226932,False
4,4,4,4,52093,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial5,-0.157041938250908,False
5,5,5,5,52094,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial6,0.0181132439648333,False
6,6,6,6,52095,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial7,-0.146384523963579,False
7,7,7,7,52096,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial8,-0.330471032770656,True
8,8,8,8,52097,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial9,-0.429396337014038,True
9,9,9,9,52098,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial10,-0.85901632884739,True
10,10,10,10,52099,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial11,-0.79545837384072,True
11,11,11,11,52100,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial12,-0.377190218125098,True
12,12,12,12,52101,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial13,-0.368259593660056,True
13,13,13,13,52102,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial14,-0.79545837384072,True
14,14,14,14,52103,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial15,-0.450080935873889,True
15,15,15,15,52104,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial16,-0.720392762929606,True
16,16,16,16,52105,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial17,-0.55098143161475,True
17,17,17,17,52106,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial18,-0.400059757555458,True
18,18,18,18,52107,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial19,-0.886773533537943,True
19,19,19,19,52108,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial20,-0.334531305181241,True
20,20,20,20,52109,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial21,-0.647891444622807,True
21,21,21,21,52110,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial22,-0.460723378683434,True
22,22,22,22,52111,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial23,-0.246590341616603,False
23,23,23,23,52112,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial24,-0.439693061706941,True
24,24,24,24,52113,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial25,-0.571643216354341,True
25,25,25,25,52114,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial26,-0.67387600746891,True
26,26,26,26,52115,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial27,-0.0693844735236278,False
27,27,27,27,52116,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial28,-0.303121424995899,True
28,28,28,28,52117,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial29,0.03920856678916,False
29,29,29,29,52118,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial30,-0.673610085744976,True
30,30,30,30,52119,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial31,0.0109085282584767,False
31,31,31,31,52120,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial32,-0.135995234884833,False
32,32,32,32,52121,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial33,-0.761400719450325,True
33,33,33,33,52122,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial34,-0.477263081268627,True
34,34,34,34,52123,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial35,-0.720392762929606,True
35,35,35,35,52124,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial36,-0.461049160644253,True
36,36,36,36,52125,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial37,-0.592895583093665,True
37,37,37,37,52126,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial38,-0.701514768241358,True
38,38,38,38,52127,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial39,-0.176402269277181,False
39,39,39,39,52128,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial40,-0.740748913619666,True
40,40,40,40,52129,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial41,-0.211514701210003,False
41,41,41,41,52130,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial42,-0.571433056910655,True
42,42,42,42,52131,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial43,-0.54448247704828,True
43,43,43,43,52132,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial44,-0.578742979271837,True
44,44,44,44,52133,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial45,0.192389616529267,False
45,45,45,45,52134,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial46,-0.230212203276063,False
46,46,46,46,52135,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial47,-0.506441671222339,True
47,47,47,47,52136,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial48,-0.656111774869498,True
48,48,48,48,52137,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial49,-0.564623179907733,True
49,49,49,49,52138,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial50,-0.346840569918322,True
50,50,50,50,52139,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial51,-0.409821203965484,True
51,51,51,51,52140,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial52,-0.647891444622807,True
52,52,52,52,52141,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial53,-0.762051998475508,True
53,53,53,53,52142,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial54,-0.80747166688632,True
54,54,54,54,52143,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial55,-0.506441671222339,True
55,55,55,55,52144,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial56,-0.592895583093665,True
56,56,56,56,52145,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial57,-0.564623179907733,True
57,57,57,57,52146,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial58,-0.600579126759416,True
58,58,58,58,52147,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial59,-0.47177234706951,True
59,59,59,59,52148,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial60,-0.461049160644253,True
60,60,60,60,52149,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial61,-0.444764374396991,True
61,61,61,61,52150,EGW_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run33,Trial62,-0.0521091507193741,False
