,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,94785,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial1,0.0893495610476633,False
1,1,1,1,94786,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial2,-0.149212723374449,False
2,2,2,2,94787,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial3,-0.226308552562699,False
3,3,3,3,94788,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial4,-0.0662299054995956,False
4,4,4,4,94789,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial5,-0.221385743123696,False
5,5,5,5,94790,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial6,-0.151274795482238,False
6,6,6,6,94791,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial7,-0.124947084910956,False
7,7,7,7,94792,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial8,-0.238910088107229,False
8,8,8,8,94793,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial9,-0.0084611667289546,False
9,9,9,9,94794,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial10,-0.233843187601048,False
10,10,10,10,94795,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial11,-0.14507655418781,False
11,11,11,11,94796,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial12,-0.186091711363782,False
12,12,12,12,94797,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial13,-0.188302904901998,False
13,13,13,13,94798,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial14,-0.0268635622029008,False
14,14,14,14,94799,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial15,-0.223858679758028,False
15,15,15,15,94800,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial16,-0.153388664028585,False
16,16,16,16,94801,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial17,-0.19522426160654,False
17,17,17,17,94802,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run18,Trial18,-0.161852274795601,False
