,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,11825,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial1,0.0949599965288446,False
1,1,1,1,1,1,1,1,11826,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial2,-0.0811774640675083,False
2,2,2,2,2,2,2,2,11827,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial3,-0.143137929663463,False
3,3,3,3,3,3,3,3,11828,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial4,-0.24135215632693,False
4,4,4,4,4,4,4,4,11829,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial5,-0.265460066478466,False
5,5,5,5,5,5,5,5,11830,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial6,-0.209137647209183,False
6,6,6,6,6,6,6,6,11831,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial7,-0.209230710312804,False
7,7,7,7,7,7,7,7,11832,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial8,-0.206031501605447,False
8,8,8,8,8,8,8,8,11833,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial9,-0.258402198938414,False
9,9,9,9,9,9,9,9,11834,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial10,-0.3138603088509349,True
10,10,10,10,10,10,10,10,11835,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial11,-0.2250427881411,False
11,11,11,11,11,11,11,11,11836,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial12,-0.19691956155935,False
12,12,12,12,12,12,12,12,11837,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial13,-0.372995742254405,True
13,13,13,13,13,13,13,13,11838,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial14,-0.26891678482222,False
14,14,14,14,14,14,14,14,11839,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial15,-0.294652137972456,True
15,15,15,15,15,15,15,15,11840,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial16,-0.209230710312804,False
16,16,16,16,16,16,16,16,11841,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial17,-0.206123901410463,False
17,17,17,17,17,17,17,17,11842,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial18,-0.258402198938414,False
18,18,18,18,18,18,18,18,11843,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial19,-0.3139787528012789,True
19,19,19,19,19,19,19,19,11844,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial20,-0.279801747422057,True
20,20,20,20,20,20,20,20,11845,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial21,-0.19691956155935,False
21,21,21,21,21,21,21,21,11846,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial22,-0.109811882218996,False
22,22,22,22,22,22,22,22,11847,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial23,-0.279801747422057,True
23,23,23,23,23,23,23,23,11848,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial24,-0.306094189276289,True
24,24,24,24,24,24,24,24,11849,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial25,-0.269023582924788,False
25,25,25,25,25,25,25,25,11850,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial26,-0.238007765305468,False
26,26,26,26,26,26,26,26,11851,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial27,-0.26535414099455,False
27,27,27,27,27,27,27,27,11852,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial28,0.155239500283767,False
28,28,28,28,28,28,28,28,11853,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial29,-0.0269020254661436,False
29,29,29,29,29,29,29,29,11854,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial30,-0.143137929663463,False
30,30,30,30,30,30,30,30,11855,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial31,-0.19097422951541,False
31,31,31,31,31,31,31,31,11856,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial32,-0.190884997034738,False
32,32,32,32,32,32,32,32,11857,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial33,-0.0499715924963051,False
33,33,33,33,33,33,33,33,11858,FRF_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial34,-0.27614906187926,True
