,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
12659,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial1,0.152304971662363
12660,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial2,-0.0671232314641044
12661,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial3,0.0901882449502329
12662,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial4,-0.14582485904012
12663,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial5,-0.473635219663061
12664,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial6,-0.184922719932052
12665,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial7,-0.210841750713748
12666,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial8,-0.181865123622691
12667,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial9,-0.157469699915177
12668,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial10,-0.360966775631141
12669,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial11,-0.390303355089721
12670,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial12,-0.307747587994005
12671,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial13,-0.184922719932052
12672,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial14,-0.333620048665416
12673,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial15,-0.400444974608867
12674,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial16,-0.16945058401195
12675,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial17,-0.385257594978886
12676,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial18,-0.303571147853587
12677,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial19,-0.264028443071583
12678,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial20,-0.231397633398396
12679,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial21,-0.395280705702185
12680,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial22,-0.279381024487575
12681,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial23,-0.375460599562792
12682,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial24,-0.207497359692287
12683,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial25,-0.154510747707896
12684,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial26,0.116107275731929
12685,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial27,-0.221049383030627
12686,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial28,-0.473451714949667
12687,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial29,-0.238406379209039
12688,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial30,-0.449682640870721
12689,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial31,-0.592528700624697
12690,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial32,-0.333620048665416
12691,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial33,-0.60879846269849
12692,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial34,-0.21762576726725
12693,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial35,-0.42179325719174
12694,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial36,-0.449682640870721
12695,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial37,-0.351558464238852
12696,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial38,-0.722959016551191
12697,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial39,-0.131663288506962
12698,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial40,-0.291378050846339
12699,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial41,-0.438339283016845
12700,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial42,-0.0793014766058144
12701,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial43,-0.427119744536869
12702,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial44,-0.333487108156678
12703,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial45,0.12850888761683
12704,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial46,-0.197680803252825
12705,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial47,-0.283349903237754
12706,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial48,-0.21762576726725
12707,FRF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run30,Trial49,-0.511888449690433
