,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
52922,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial1,0.173905130297255
52923,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial2,-0.0720550703610328
52924,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial3,-0.0348637279087307
52925,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial4,-0.13347568800079
52926,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial5,0.0634098215812275
52927,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial6,0.020797778162263
52928,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial7,-0.166610428714261
52929,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial8,-0.0574978734177192
52930,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial9,-0.159793982120095
52931,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial10,-0.0382614942037063
52932,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial11,-0.0610871786012055
52933,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial12,-0.146430020562113
52934,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial13,-0.0556964850990087
52935,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial14,-0.125042315757562
52936,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial15,-0.148617962099345
52937,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial16,-0.0165839494590694
52938,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial17,-0.202558442446846
52939,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial18,-0.18541663595446
52940,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial19,-0.187834769623502
52941,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial20,-0.32584049160949
52942,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial21,-0.25272148618861
52943,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial22,-0.190242179843751
52944,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial23,-0.137754591373479
52945,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial24,-0.178265586493965
52946,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial25,-0.371231606215964
52947,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial26,-0.287789544664018
52948,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial27,-0.287789544664018
52949,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial28,-0.241711743777111
52950,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial29,-0.110666850897153
52951,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial30,-0.322504829380793
52952,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial31,-0.26990894241137
52953,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial32,-0.319210917363637
52954,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial33,-0.225584946529617
52955,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial34,-0.166644896074386
52956,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial35,-0.353190099384246
52957,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial36,-0.296967175145406
52958,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial37,-0.247195558414411
52959,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial38,-0.249998452751375
52960,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial39,-0.133443754974325
52961,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial40,-0.417830318669136
52962,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial41,-0.296967175145406
52963,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial42,-0.296967175145406
52964,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial43,-0.296967175145406
52965,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial44,-0.114685024343318
52966,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial45,-0.417830318669136
52967,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial46,-0.150839139467168
52968,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial47,-0.329135155204104
52969,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial48,-0.353190099384246
52970,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial49,-0.1689258113284
52971,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial50,-0.386190359487172
52972,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial51,-0.20757938893919
52973,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial52,-0.25272148618861
52974,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial53,-0.212607971034519
52975,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial54,-0.255602691843219
52976,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial55,-0.36036368200346
52977,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial56,0.0311283400116467
52978,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial57,-0.322504829380793
52979,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial58,-0.247195558414411
52980,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial59,-0.148651030626771
52981,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial60,-0.38243513684963
52982,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial61,-0.322504829380793
52983,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial62,-0.225584946529617
52984,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial63,-0.26990894241137
52985,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial64,-0.0264547034853635
52986,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial65,-0.498637215197355
52987,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run14,Trial66,0.126261139360336
