,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,52475,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial1,0.153501884802816,False
1,1,1,1,1,1,1,1,52476,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial2,-0.195121944461838,False
2,2,2,2,2,2,2,2,52477,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial3,-0.108641459672714,False
3,3,3,3,3,3,3,3,52478,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial4,0.0354784989043324,False
4,4,4,4,4,4,4,4,52479,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial5,0.0383474176786605,False
5,5,5,5,5,5,5,5,52480,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial6,0.0178026319329034,False
6,6,6,6,6,6,6,6,52481,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial7,0.0440431646535422,False
7,7,7,7,7,7,7,7,52482,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial8,-0.0133429308212363,False
8,8,8,8,8,8,8,8,52483,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial9,-0.0776072259327449,False
9,9,9,9,9,9,9,9,52484,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial10,0.109573005288549,False
10,10,10,10,10,10,10,10,52485,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial11,-0.0264547034853635,False
11,11,11,11,11,11,11,11,52486,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial12,-0.0348552455117948,False
12,12,12,12,12,12,12,12,52487,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial13,-0.0416946700421001,False
13,13,13,13,13,13,13,13,52488,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial14,-0.125031875860883,False
14,14,14,14,14,14,14,14,52489,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial15,-0.0006154417591957,False
15,15,15,15,15,15,15,15,52490,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial16,0.223422769731236,False
16,16,16,16,16,16,16,16,52491,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial17,-0.1334650433977459,False
17,17,17,17,17,17,17,17,52492,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial18,-0.0069325637828883,False
18,18,18,18,18,18,18,18,52493,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial19,-0.0416946700421001,False
19,19,19,19,19,19,19,19,52494,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial20,-0.0214912839538135,False
20,20,20,20,20,20,20,20,52495,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial21,0.204287759290975,False
21,21,21,21,21,21,21,21,52496,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial22,-0.125031875860883,False
22,22,22,22,22,22,22,22,52497,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial23,-0.0539291264591117,False
23,23,23,23,23,23,23,23,52498,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial24,0.0056111090814354,False
24,24,24,24,24,24,24,24,52499,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial25,0.0102231292233932,False
25,25,25,25,25,25,25,25,52500,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial26,-0.0101259199492385,False
26,26,26,26,26,26,26,26,52501,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial27,0.0426262156579358,False
27,27,27,27,27,27,27,27,52502,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial28,-0.116759349894893,False
28,28,28,28,28,28,28,28,52503,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial29,-0.0069325637828883,False
29,29,29,29,29,29,29,29,52504,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run4,Trial30,0.0454555056768,False
