,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,52686,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial1,-0.0646973098755068,False
1,1,1,1,52687,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial2,-0.210099100431491,False
2,2,2,2,52688,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial3,0.0193027870753117,False
3,3,3,3,52689,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial4,-0.0683468648135404,False
4,4,4,4,52690,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial5,-0.122948924712591,False
5,5,5,5,52691,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial6,-0.127135355698299,False
6,6,6,6,52692,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial7,-0.13134134976789,False
7,7,7,7,52693,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial8,-0.0053446480032564,False
8,8,8,8,52694,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial9,-0.0683468648135404,False
9,9,9,9,52695,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial10,-0.233566792337188,False
10,10,10,10,52696,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial11,-0.236282822407501,False
11,11,11,11,52697,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial12,-0.238961656677214,False
12,12,12,12,52698,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial13,-0.217785929097781,False
13,13,13,13,52699,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial14,-0.222987122783589,False
14,14,14,14,52700,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial15,-0.346185197815588,True
15,15,15,15,52701,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial16,-0.290806866440588,True
16,16,16,16,52702,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial17,-0.202558442446846,False
17,17,17,17,52703,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial18,-0.225611266609738,False
18,18,18,18,52704,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial19,-0.0556964850990087,False
19,19,19,19,52705,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial20,-0.309556302453427,True
20,20,20,20,52706,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial21,-0.195134212840824,False
21,21,21,21,52707,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial22,-0.0947903477754837,False
22,22,22,22,52708,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial23,-0.148628984662051,False
23,23,23,23,52709,FRF_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run8,Trial24,-0.135588476133743,False
