,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
96397,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial1,0.158631857841665
96398,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial2,0.00115176230795733
96399,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial3,-0.0876052167676566
96400,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial4,-0.214023969049313
96401,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial5,-0.0722000860664407
96402,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial6,-0.0615502675848592
96403,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial7,-0.0657874238750287
96404,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial8,-0.187872125620127
96405,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial9,-0.165878528211426
96406,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial10,-0.190715515880284
96407,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial11,-0.127433680336076
96408,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial12,-0.171314108295344
96409,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial13,-0.174023479651349
96410,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial14,-0.223118602314826
96411,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial15,-0.199286735641797
96412,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial16,-0.134870178321084
96413,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial17,-0.157896682403856
96414,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial18,0.0543372608413626
96415,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial19,-0.092105717994333
96416,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial20,-0.0290539722472443
96417,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial21,-0.0679002120079817
96418,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial22,-0.127433680336076
96419,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial23,-0.0743878085316685
96420,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial24,-0.0809627665010093
96421,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial25,-0.232423391775065
96422,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial26,-0.160563098650185
96423,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial27,-0.208119156796951
96424,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial28,-0.185075248527591
96425,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial29,-0.142398137822317
96426,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial30,-0.31850209536141
96427,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial31,0.100278766282721
96428,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial32,-0.251522653237875
96429,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial33,-0.134870178321084
96430,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial34,-0.137348291886831
96431,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial35,-0.341983191210933
96432,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial36,-0.179507294288649
96433,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial37,-0.406923998143947
96434,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial38,-0.220055724376544
96435,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial39,-0.220055724376544
96436,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial40,-0.330123095302747
96437,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial41,-0.0898608889882326
96438,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial42,-0.362590804760835
96439,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial43,-0.193577644990777
96440,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial44,-0.15009766497202
96441,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial45,-0.196429999404713
96442,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial46,-0.112955856967453
96443,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial47,-0.307202525755038
96444,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial48,-0.176736116464653
96445,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial49,-0.115359421702561
96446,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial50,-0.251571632897922
96447,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial51,-0.137348291886831
96448,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial52,-0.28200277376299
96449,FRF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run15,Trial53,-0.338000370979419
