,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,97845,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial1,0.0817599262178206,False
1,1,1,1,97846,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial2,-0.281525334645038,True
2,2,2,2,97847,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial3,-0.278010804064136,True
3,3,3,3,97848,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial4,-0.11031728227777,False
4,4,4,4,97849,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial5,-0.378372015020183,True
5,5,5,5,97850,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial6,-0.15103944934402,False
6,6,6,6,97851,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial7,-0.369373786535637,True
7,7,7,7,97852,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial8,-0.396995079474229,True
8,8,8,8,97853,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial9,-0.352130892928001,True
9,9,9,9,97854,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial10,-0.416131791402016,True
10,10,10,10,97855,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial11,-0.447033549625628,True
11,11,11,11,97856,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial12,-0.356302616538194,True
12,12,12,12,97857,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial13,-0.619891717738686,True
13,13,13,13,97858,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial14,-0.335300684821841,True
14,14,14,14,97859,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial15,-0.396995079474229,True
15,15,15,15,97860,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial16,-0.288880092879119,True
16,16,16,16,97861,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial17,-0.421294047292622,True
17,17,17,17,97862,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial18,-0.452230274962401,True
18,18,18,18,97863,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial19,-0.360536508237914,True
19,19,19,19,97864,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial20,-0.521650611323942,True
20,20,20,20,97865,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial21,-0.457517075138076,True
21,21,21,21,97866,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial22,-0.401623230712519,True
22,22,22,22,97867,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial23,-0.57553667572648,True
23,23,23,23,97868,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial24,-0.343634266372965,True
24,24,24,24,97869,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial25,-0.596923669180846,True
25,25,25,25,97870,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial26,-0.47405677772327,True
26,26,26,26,97871,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial27,-0.277777510190022,True
27,27,27,27,97872,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial28,-0.278010804064136,True
28,28,28,28,97873,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial29,0.0770383022119741,False
29,29,29,29,97874,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial30,0.0424148703345173,False
30,30,30,30,97875,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial31,0.0880255627839013,False
31,31,31,31,97876,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial32,0.0526699638474257,False
32,32,32,32,97877,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial33,-0.0617590315673007,False
33,33,33,33,97878,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial34,-0.0489028471740167,False
34,34,34,34,97879,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial35,0.0248820430132173,False
35,35,35,35,97880,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial36,-0.11767525356257,False
36,36,36,36,97881,FRF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial37,-0.140541154967855,False
