,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,136935,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial1,0.163910490240617,False
1,1,1,1,136936,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial2,-0.186579854090085,False
2,2,2,2,136937,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial3,0.0335497555818591,False
3,3,3,3,136938,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial4,-0.0453725412838368,False
4,4,4,4,136939,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial5,-0.0790965374964645,False
5,5,5,5,136940,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial6,0.0621978160068859,False
6,6,6,6,136941,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial7,0.214321562797303,False
7,7,7,7,136942,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial8,0.261025677615085,False
8,8,8,8,136943,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial9,-0.0858805540499663,False
9,9,9,9,136944,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial10,-0.201797281872668,False
10,10,10,10,136945,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial11,0.0137557953001379,False
11,11,11,11,136946,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial12,-0.186579854090085,False
12,12,12,12,136947,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial13,-0.173909134326977,False
13,13,13,13,136948,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial14,-0.147704271098912,False
14,14,14,14,136949,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial15,0.182611592341682,False
15,15,15,15,136950,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial16,-0.0841703643954403,False
16,16,16,16,136951,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial17,0.14640478616556,False
17,17,17,17,136952,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial18,-0.0996086409367223,False
18,18,18,18,136953,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial19,0.24467415654797,False
19,19,19,19,136954,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial20,-0.0926601979057646,False
20,20,20,20,136955,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial21,-0.0996611765595969,False
21,21,21,21,136956,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial22,0.0373859415317499,False
22,22,22,22,136957,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial23,-0.106661165991755,False
23,23,23,23,136958,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial24,-0.0112344347039675,False
24,24,24,24,136959,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial25,-0.224561970136137,False
25,25,25,25,136960,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial26,-0.126730667753967,False
26,26,26,26,136961,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial27,-0.14967466420544,False
27,27,27,27,136962,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial28,-0.20628485884976,False
28,28,28,28,136963,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial29,-0.0469285574377674,False
29,29,29,29,136964,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial30,-0.0807784407163035,False
30,30,30,30,136965,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial31,-0.161658228853495,False
31,31,31,31,136966,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial32,-0.184499001331758,False
32,32,32,32,136967,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial33,-0.155659978851339,False
33,33,33,33,136968,FRF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run19,Trial34,-0.115661431711306,False
