,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,137238,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial1,0.108558476347893,False
1,1,1,1,1,1,1,1,137239,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial2,-0.127419077512836,False
2,2,2,2,2,2,2,2,137240,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial3,-0.0470917387396135,False
3,3,3,3,3,3,3,3,137241,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial4,-0.0529015900511567,False
4,4,4,4,4,4,4,4,137242,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial5,-0.146467271669624,False
5,5,5,5,5,5,5,5,137243,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial6,-0.168796667943106,False
6,6,6,6,6,6,6,6,137244,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial7,-0.151310641370425,False
7,7,7,7,7,7,7,7,137245,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial8,-0.0982321978870049,False
8,8,8,8,8,8,8,8,137246,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial9,0.0304845167463741,False
9,9,9,9,9,9,9,9,137247,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial10,-0.151310641370425,False
10,10,10,10,10,10,10,10,137248,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial11,-0.156270676582553,False
11,11,11,11,11,11,11,11,137249,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial12,-0.1392721796802,False
12,12,12,12,12,12,12,12,137250,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial13,-0.070945085032704,False
13,13,13,13,13,13,13,13,137251,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial14,0.0748959207148316,False
14,14,14,14,14,14,14,14,137252,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial15,-0.1439510881392919,False
15,15,15,15,15,15,15,15,137253,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial16,-0.1092381607565309,False
16,16,16,16,16,16,16,16,137254,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial17,-0.132112179329217,False
17,17,17,17,17,17,17,17,137255,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial18,-0.1159487510975759,False
18,18,18,18,18,18,18,18,137256,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial19,0.0570973102530887,False
19,19,19,19,19,19,19,19,137257,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial20,-0.173974626006368,False
20,20,20,20,20,20,20,20,137258,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial21,0.0934834634648767,False
21,21,21,21,21,21,21,21,137259,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial22,-0.0470917387396135,False
22,22,22,22,22,22,22,22,137260,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial23,-0.327365097368425,True
23,23,23,23,23,23,23,23,137261,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial24,-0.243932685410893,False
24,24,24,24,24,24,24,24,137262,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial25,-0.295428895181399,True
25,25,25,25,25,25,25,25,137263,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial26,0.201672660787391,False
26,26,26,26,26,26,26,26,137264,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial27,0.2166924321407509,False
27,27,27,27,27,27,27,27,137265,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial28,-0.0588497084044342,False
28,28,28,28,28,28,28,28,137266,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial29,-0.1537095547419389,False
29,29,29,29,29,29,29,29,137267,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial30,0.10450677532495,False
30,30,30,30,30,30,30,30,137268,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial31,-0.0048059598889671,False
31,31,31,31,31,31,31,31,137269,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial32,0.152153890786103,False
32,32,32,32,32,32,32,32,137270,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial33,-0.1440234665320889,False
33,33,33,33,33,33,33,33,137271,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial34,-0.234945925301171,False
34,34,34,34,34,34,34,34,137272,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial35,-0.2348566928204989,False
35,35,35,35,35,35,35,35,137273,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial36,-0.20895220956194,False
36,36,36,36,36,36,36,36,137274,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial37,0.0123273815897154,False
37,37,37,37,37,37,37,37,137275,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial38,-0.246903820684628,False
38,38,38,38,38,38,38,38,137276,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial39,-0.158709700713847,False
39,39,39,39,39,39,39,39,137277,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial40,-0.250095597196224,False
40,40,40,40,40,40,40,40,137278,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial41,-0.250003197391208,False
41,41,41,41,41,41,41,41,137279,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial42,0.0792753736076413,False
42,42,42,42,42,42,42,42,137280,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial43,-0.268917970467024,False
43,43,43,43,43,43,43,43,137281,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial44,-0.173974626006368,False
44,44,44,44,44,44,44,44,137282,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial45,-0.323663961803455,True
45,45,45,45,45,45,45,45,137283,FRF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial46,-0.240981738504209,False
