,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,13593,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial1,0.0684527791820613,False
1,1,1,1,1,1,1,1,13594,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial2,-0.219238188015332,False
2,2,2,2,2,2,2,2,13595,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial3,0.0045966053240569,False
3,3,3,3,3,3,3,3,13596,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial4,0.0143127707863471,False
4,4,4,4,4,4,4,4,13597,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial5,-0.184459630895992,False
5,5,5,5,5,5,5,5,13598,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial6,-0.235974849533718,False
6,6,6,6,6,6,6,6,13599,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial7,0.1852491386757919,False
7,7,7,7,7,7,7,7,13600,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial8,-0.1144863866351909,False
8,8,8,8,8,8,8,8,13601,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial9,-0.160818721067884,False
9,9,9,9,9,9,9,9,13602,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial10,-0.235991947405097,False
10,10,10,10,10,10,10,10,13603,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial11,-0.235991947405097,False
11,11,11,11,11,11,11,11,13604,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial12,-0.290577645690872,True
12,12,12,12,12,12,12,12,13605,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial13,-0.2258356127415129,False
13,13,13,13,13,13,13,13,13606,IXD_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial14,-0.253453637005224,False
