,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
55194,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial1,-0.560716114087234
55195,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial2,-0.396996059012814
55196,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial3,-0.718710653536646
55197,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial4,-0.263290089313537
55198,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial5,-0.132823680023152
55199,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial6,-0.539137845918992
55200,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial7,-0.220904799957133
55201,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial8,-0.377276128958506
55202,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial9,0.0950167511081932
55203,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial10,-0.0527409093035529
55204,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial11,-0.138397752184112
55205,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial12,0.0559042154682539
55206,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial13,-0.0859941805289073
55207,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial14,-0.353770904967534
55208,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial15,-0.422955878084422
55209,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial16,-0.298070754769432
55210,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial17,-0.607259613765855
55211,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial18,-0.220904799957133
55212,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial19,-0.6324810786435
55213,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial20,-0.444947386865276
55214,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial21,-0.387036514630093
55215,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial22,-0.623966914136116
55216,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial23,-0.231158434322686
55217,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial24,-0.659442856318996
55218,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial25,-0.335859315658832
55219,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial26,-0.445031986939938
55220,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial27,-0.826344531936476
55221,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial28,-0.158308241844108
55222,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial29,-0.607259613765855
55223,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial30,-0.428404523264438
55224,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial31,-0.505419707555555
55225,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial32,-0.668689475218215
55226,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial33,-0.167156527825322
55227,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial34,-0.568066516693444
55228,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial35,-0.396996059012814
55229,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial36,-0.474131855533243
55230,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial37,-0.623839186725195
55231,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial38,-0.13007007267647
55232,IXD_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run16,Trial39,-0.751768061410153
