,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,98206,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial1,0.0504445021441415,False
1,1,1,1,1,1,1,1,98207,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial2,-0.0692815516583147,False
2,2,2,2,2,2,2,2,98208,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial3,-0.225197364605873,False
3,3,3,3,3,3,3,3,98209,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial4,-0.281315575717865,True
4,4,4,4,4,4,4,4,98210,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial5,-0.169663585895913,False
5,5,5,5,5,5,5,5,98211,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial6,-0.0490786877961629,False
6,6,6,6,6,6,6,6,98212,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial7,-0.152616327125268,False
7,7,7,7,7,7,7,7,98213,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial8,-0.281278136538367,True
8,8,8,8,8,8,8,8,98214,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial9,-0.196520332055725,False
9,9,9,9,9,9,9,9,98215,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial10,-0.1725685765393209,False
10,10,10,10,10,10,10,10,98216,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial11,0.0289935010585092,False
11,11,11,11,11,11,11,11,98217,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial12,-0.181416862520535,False
12,12,12,12,12,12,12,12,98218,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial13,-0.231828196599909,False
13,13,13,13,13,13,13,13,98219,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial14,-0.2027400446974999,False
14,14,14,14,14,14,14,14,98220,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial15,-0.2027400446974999,False
15,15,15,15,15,15,15,15,98221,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial16,0.0416260818188618,False
16,16,16,16,16,16,16,16,98222,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial17,-0.2122159365813769,False
17,17,17,17,17,17,17,17,98223,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial18,-0.296536822281413,True
18,18,18,18,18,18,18,18,98224,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial19,-0.235165134652346,False
19,19,19,19,19,19,19,19,98225,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial20,-0.181387116323133,False
20,20,20,20,20,20,20,20,98226,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial21,-0.0235355502176757,False
21,21,21,21,21,21,21,21,98227,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial22,-0.100229839401278,False
22,22,22,22,22,22,22,22,98228,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial23,-0.2453842998340319,False
23,23,23,23,23,23,23,23,98229,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial24,-0.241951123995638,False
24,24,24,24,24,24,24,24,98230,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial25,-0.163911257006822,False
25,25,25,25,25,25,25,25,98231,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial26,0.0486968358746216,False
26,26,26,26,26,26,26,26,98232,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial27,-0.175507801915358,False
27,27,27,27,27,27,27,27,98233,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial28,-0.199626809273357,False
28,28,28,28,28,28,28,28,98234,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial29,-0.199626809273357,False
29,29,29,29,29,29,29,29,98235,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial30,-0.196535732296215,False
30,30,30,30,30,30,30,30,98236,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial31,0.187005901948497,False
31,31,31,31,31,31,31,31,98237,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial32,-0.105218076574797,False
32,32,32,32,32,32,32,32,98238,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial33,-0.2775875431952609,True
33,33,33,33,33,33,33,33,98239,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial34,-0.193451208778537,False
34,34,34,34,34,34,34,34,98240,IXD_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run5,Trial35,-0.1934665005685388,False
