,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
58254,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial1,-0.00365998774212706
58255,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial2,-0.160494793261587
58256,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial3,-0.398730705546177
58257,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial4,-0.467315467806463
58258,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial5,-0.615798806608082
58259,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial6,-0.0258732987647821
58260,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial7,-0.444900502742502
58261,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial8,-0.393853531018798
58262,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial9,-0.379495577141176
58263,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial10,0.17695993051229
58264,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial11,-0.27256144779226
58265,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial12,-0.143938358170243
58266,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial13,-0.240895873250635
58267,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial14,-0.541925868914616
58268,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial15,-0.515403361864879
58269,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial16,-0.496721820933052
58270,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial17,-0.584531615736629
58271,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial18,-0.46160938900023
58272,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial19,-0.599883885310474
58273,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial20,-0.384236881614526
58274,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial21,-0.374828570222237
58275,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial22,-0.445063363175124
58276,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial23,-0.389006658316944
58277,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial24,-0.46160938900023
58278,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial25,-0.490799738752632
58279,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial26,-0.472952746854105
58280,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial27,-0.780046289278747
58281,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial28,-0.393853531018798
58282,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial29,-0.515594934202305
58283,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial30,-0.496905325646446
58284,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial31,-0.434258059932957
58285,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial32,-0.418704083076574
58286,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial33,-0.496721820933052
58287,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial34,-0.584531615736629
58288,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial35,-0.502942852375837
58289,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial36,-0.439613702566827
58290,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial37,-0.56992066193303
58291,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial38,-0.496721820933052
58292,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial39,-0.528462179565089
58293,JAF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run18,Trial40,-0.279867491373829
