,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,59788,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial1,0.157611190460393,False
1,1,1,1,59789,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial2,-0.279417902044508,True
2,2,2,2,59790,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial3,-0.236172062877084,False
3,3,3,3,59791,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial4,-0.550006602761186,True
4,4,4,4,59792,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial5,-0.18165868538043,False
5,5,5,5,59793,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial6,-0.27496216161714,False
6,6,6,6,59794,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial7,-0.493962969811016,True
7,7,7,7,59795,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial8,-0.37098535759814,True
8,8,8,8,59796,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial9,-0.655435841527108,True
9,9,9,9,59797,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial10,-0.37098535759814,True
10,10,10,10,59798,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial11,-0.405745112716648,True
11,11,11,11,59799,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial12,-0.634132756671266,True
12,12,12,12,59800,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial13,-0.464816899962255,True
13,13,13,13,59801,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial14,-0.634132756671266,True
14,14,14,14,59802,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial15,-0.36515619012111,True
15,15,15,15,59803,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial16,-0.27496216161714,False
16,16,16,16,59804,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial17,-0.558395494556616,True
17,17,17,17,59805,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial18,-0.36515619012111,True
18,18,18,18,59806,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial19,-0.44436527466635,True
19,19,19,19,59807,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial20,-0.424801653194837,True
20,20,20,20,59808,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial21,-0.406112044638978,True
21,21,21,21,59809,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial22,-0.558395494556616,True
22,22,22,22,59810,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial23,-0.322780180065638,True
23,23,23,23,59811,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial24,-0.354107221735034,True
24,24,24,24,59812,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial25,-0.196618557335191,False
25,25,25,25,59813,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial26,-0.108090320773198,False
26,26,26,26,59814,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial27,-0.533166677347994,True
27,27,27,27,59815,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial28,-0.348820421559359,True
28,28,28,28,59816,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial29,-0.624113277625303,True
29,29,29,29,59817,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial30,-0.35976150190868,True
30,30,30,30,59818,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial31,-0.38784155058725,True
31,31,31,31,59819,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial32,-0.533166677347994,True
32,32,32,32,59820,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial33,-0.44436527466635,True
33,33,33,33,59821,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial34,-0.541776686015922,True
34,34,34,34,59822,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial35,-0.450929044168738,True
35,35,35,35,59823,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial36,-0.431106609382834,True
36,36,36,36,59824,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial37,-0.464816899962255,True
37,37,37,37,59825,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial38,-0.38784155058725,True
38,38,38,38,59826,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial39,-0.532675115912489,True
39,39,39,39,59827,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial40,-0.44436527466635,True
40,40,40,40,59828,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial41,-0.376522186798995,True
41,41,41,41,59829,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial42,-0.406112044638978,True
42,42,42,42,59830,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial43,-0.388193657476535,True
43,43,43,43,59831,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial44,-0.472126822323438,True
44,44,44,44,59832,JAF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run35,Trial45,-0.451336227086514,True
