,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,101377,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial1,0.0464115999548609,False
1,1,1,1,101378,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial2,0.0403172044202087,False
2,2,2,2,101379,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial3,-0.148173117791487,False
3,3,3,3,101380,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial4,-0.170797484978569,False
4,4,4,4,101381,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial5,-0.0550814918813334,False
5,5,5,5,101382,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial6,0.0173206644485737,False
6,6,6,6,101383,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial7,-0.180876165126684,False
7,7,7,7,101384,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial8,0.0641110115127201,False
8,8,8,8,101385,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial9,-0.246659519034498,False
9,9,9,9,101386,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial10,-0.242768352797588,False
10,10,10,10,101387,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial11,-0.27099798585344,False
11,11,11,11,101388,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial12,-0.26272585382232,False
12,12,12,12,101389,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial13,-0.324287980449549,True
13,13,13,13,101390,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial14,0.0258360979211445,False
14,14,14,14,101391,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial15,-0.324217173490575,True
15,15,15,15,101392,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial16,-0.443016210679308,True
16,16,16,16,101393,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial17,-0.205266833876273,False
17,17,17,17,101394,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial18,-0.23114735285625,False
18,18,18,18,101395,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial19,-0.0977205060224318,False
19,19,19,19,101396,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial20,-0.36900027492289,True
20,20,20,20,101397,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial21,-0.358684374952623,True
21,21,21,21,101398,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial22,-0.384962217200779,True
22,22,22,22,101399,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial23,-0.333833822894848,True
23,23,23,23,101400,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial24,-0.319569255638788,True
24,24,24,24,101401,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial25,0.0443761557337679,False
25,25,25,25,101402,JAF_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run11,Trial26,0.054370476629483,False
