,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,103168,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial1,-0.293330969404846,True
1,1,1,1,1,1,1,1,103169,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial2,-0.538743975320595,True
2,2,2,2,2,2,2,2,103170,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial3,-0.5053732822881121,True
3,3,3,3,3,3,3,3,103171,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial4,-0.324073810331362,True
4,4,4,4,4,4,4,4,103172,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial5,-0.45252223125481,True
5,5,5,5,5,5,5,5,103173,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial6,-0.293330969404846,True
6,6,6,6,6,6,6,6,103174,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial7,-0.474347366135034,True
7,7,7,7,7,7,7,7,103175,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial8,-0.3927586027742411,True
8,8,8,8,8,8,8,8,103176,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial9,-0.288400072768575,True
9,9,9,9,9,9,9,9,103177,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial10,-0.318757248854464,True
10,10,10,10,10,10,10,10,103178,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial11,-0.264644320620642,False
11,11,11,11,11,11,11,11,103179,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial12,-0.431741619313021,True
12,12,12,12,12,12,12,12,103180,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial13,-0.411715640788707,True
13,13,13,13,13,13,13,13,103181,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial14,-0.264644320620642,False
14,14,14,14,14,14,14,14,103182,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial15,-0.489699635708878,True
15,15,15,15,15,15,15,15,103183,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial16,0.1065242618594679,False
16,16,16,16,16,16,16,16,103184,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial17,-0.474347366135034,True
17,17,17,17,17,17,17,17,103185,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial18,-0.5053732822881121,True
18,18,18,18,18,18,18,18,103186,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial19,-0.184790003086796,False
19,19,19,19,19,19,19,19,103187,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial20,-0.4671092665459311,True
20,20,20,20,20,20,20,20,103188,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial21,-0.229202343519911,False
21,21,21,21,21,21,21,21,103189,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial22,-0.386721076044851,True
22,22,22,22,22,22,22,22,103190,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial23,-0.368626599753667,True
23,23,23,23,23,23,23,23,103191,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial24,-0.351425139398635,True
24,24,24,24,24,24,24,24,103192,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial25,-0.565836008777692,True
25,25,25,25,25,25,25,25,103193,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial26,-0.4119101010077329,True
26,26,26,26,26,26,26,26,103194,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial27,-0.565836008777692,True
27,27,27,27,27,27,27,27,103195,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial28,-0.530360066594813,True
28,28,28,28,28,28,28,28,103196,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial29,-0.3927586027742411,True
29,29,29,29,29,29,29,29,103197,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial30,-0.481974712706183,True
30,30,30,30,30,30,30,30,103198,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial31,-0.399038571977823,True
31,31,31,31,31,31,31,31,103199,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial32,-0.5566011886869949,True
32,32,32,32,32,32,32,32,103200,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial33,-0.5218843190802801,True
33,33,33,33,33,33,33,33,103201,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial34,-0.380615489151037,True
34,34,34,34,34,34,34,34,103202,JAF_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial35,-0.530360066594813,True
