,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
139727,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial1,-0.36354797751839
139728,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial2,-0.446879842091729
139729,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial3,-0.423100992676425
139730,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial4,-0.293660560587903
139731,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial5,-0.446696337378336
139732,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial6,-0.534506132181913
139733,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial7,-0.573688624535531
139734,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial8,-0.34870522199146
139735,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial9,-0.422927263299389
139736,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial10,-0.505584697415007
139737,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial11,-0.485133072119102
139738,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial12,-0.368525328130853
139739,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial13,-0.498568029923976
139740,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial14,-0.384232576378241
139741,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial15,-0.32947009358646
139742,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial16,0.191940159428422
139743,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial17,-0.45291736882112
139744,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial18,-0.434723568641501
139745,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial19,-0.417118563494872
139746,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial20,-0.557486377536572
139747,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial21,-0.527047223598017
139748,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial22,-0.565532048334991
139749,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial23,-0.27265862887155
139750,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial24,-0.471874406835585
139751,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial25,-0.505584697415007
139752,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial26,-0.534506132181913
139753,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial27,-0.573688624535531
139754,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial28,-0.38958821901211
139755,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial29,-0.465569450647588
139756,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial30,-0.557723222378964
139757,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial31,-0.428785365800545
139758,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial32,-0.411583905445513
139759,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial33,-0.353489735451725
139760,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial34,-0.0102446988317313
139761,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial35,-0.440593311726691
139762,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial36,-0.471874406835585
139763,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial37,-0.565532048334991
139764,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial38,-0.384232576378241
139765,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial39,-0.293660560587903
139766,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial40,-0.625994774824571
139767,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial41,-0.472068867054612
139768,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial42,-0.718319979915728
139769,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial43,-0.384232576378241
139770,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial44,-0.32947009358646
139771,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial45,-0.557723222378964
139772,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial46,-0.534506132181913
139773,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial47,-0.565532048334991
139774,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial48,-0.306731730585347
139775,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial49,-0.519678085406083
139776,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial50,-0.557486377536572
139777,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial51,-0.422927263299389
139778,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial52,-0.644689174281424
139779,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial53,-0.434723568641501
139780,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial54,-0.459197338024702
139781,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial55,-0.549858401755757
139782,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial56,-0.590518832641691
139783,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial57,-0.446879842091729
139784,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial58,-0.428785365800545
139785,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial59,-0.411583905445513
139786,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial60,-0.616759954733873
139787,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial61,-0.519895178378314
139788,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial62,-0.498774820412085
139789,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial63,-0.52726803259281
139790,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial64,-0.505794856858693
139791,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial65,-0.607761726249328
139792,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial66,-0.573688624535531
139793,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial67,-0.348558838815454
139794,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial68,0.232178890778668
139795,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial69,-0.10490791093563
139796,JAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run24,Trial70,-0.527047223598017
