,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,139940,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial1,-0.3746458799050279,True
1,1,1,1,1,1,1,1,139941,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial2,-0.535071204082011,True
2,2,2,2,2,2,2,2,139942,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial3,-0.326366413509187,True
3,3,3,3,3,3,3,3,139943,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial4,-0.234018105804416,False
4,4,4,4,4,4,4,4,139944,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial5,-0.400976814617339,True
5,5,5,5,5,5,5,5,139945,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial6,-0.3746458799050279,True
6,6,6,6,6,6,6,6,139946,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial7,-0.355772766635775,True
7,7,7,7,7,7,7,7,139947,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial8,-0.252904476721521,False
8,8,8,8,8,8,8,8,139948,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial9,-0.2071011438381519,False
9,9,9,9,9,9,9,9,139949,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial10,-0.36199379807856,True
10,10,10,10,10,10,10,10,139950,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial11,-0.298503818315149,True
11,11,11,11,11,11,11,11,139951,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial12,0.1212873284609299,False
12,12,12,12,12,12,12,12,139952,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial13,-0.387513125267812,True
13,13,13,13,13,13,13,13,139953,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial14,-0.277601757388293,True
14,14,14,14,14,14,14,14,139954,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial15,-0.458934831013197,True
15,15,15,15,15,15,15,15,139955,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial16,-0.436123652855456,True
16,16,16,16,16,16,16,16,139956,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial17,-0.355772766635775,True
17,17,17,17,17,17,17,17,139957,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial18,-0.7921495100485791,True
18,18,18,18,18,18,18,18,139958,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial19,-0.161839006624262,False
19,19,19,19,19,19,19,19,139959,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial20,-0.349669740984131,True
20,20,20,20,20,20,20,20,139960,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial21,-0.332003692556829,True
21,21,21,21,21,21,21,21,139961,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial22,-0.362179950881197,True
22,22,22,22,22,22,22,22,139962,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial23,-0.234018105804416,False
23,23,23,23,23,23,23,23,139963,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial24,-0.262566164709165,False
24,24,24,24,24,24,24,24,139964,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial25,-0.436123652855456,True
25,25,25,25,25,25,25,25,139965,JAF_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run27,Trial26,-0.414661126672446,True
