,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,19174,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial1,0.206025175496331,False
1,1,1,1,1,1,1,1,19175,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial2,-0.232253815044626,False
2,2,2,2,2,2,2,2,19176,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial3,-0.0011003172993189,False
3,3,3,3,3,3,3,3,19177,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial4,-0.156975852530547,False
4,4,4,4,4,4,4,4,19178,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial5,-0.0886336377117098,False
5,5,5,5,5,5,5,5,19179,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial6,-0.0600880476999555,False
6,6,6,6,6,6,6,6,19180,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial7,-0.135317392147764,False
7,7,7,7,7,7,7,7,19181,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial8,-0.0370222330856933,False
8,8,8,8,8,8,8,8,19182,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial9,-0.0600781772586569,False
9,9,9,9,9,9,9,9,19183,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial10,-0.17461415346719,False
10,10,10,10,10,10,10,10,19184,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial11,-0.177191576355,False
11,11,11,11,11,11,11,11,19185,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial12,-0.0844375231181016,False
12,12,12,12,12,12,12,12,19186,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial13,-0.0277525120707591,False
13,13,13,13,13,13,13,13,19187,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial14,-0.0332850006707202,False
14,14,14,14,14,14,14,14,19188,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial15,-0.1823927700408081,False
15,15,15,15,15,15,15,15,19189,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial16,-0.1823927700408081,False
16,16,16,16,16,16,16,16,19190,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial17,-0.20660120567163,False
17,17,17,17,17,17,17,17,19191,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial18,-0.0277525120707591,False
18,18,18,18,18,18,18,18,19192,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial19,-0.116943549073089,False
19,19,19,19,19,19,19,19,19193,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial20,-0.103658693729899,False
20,20,20,20,20,20,20,20,19194,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial21,-0.185016913866957,False
21,21,21,21,21,21,21,21,19195,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run8,Trial22,-0.253281745425483,False
