,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,19229,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial1,0.127705245598313,False
1,1,1,1,19230,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial2,-0.169504747688709,False
2,2,2,2,19231,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial3,-0.0782184027831705,False
3,3,3,3,19232,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial4,-0.19839444733956,False
4,4,4,4,19233,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial5,-0.247195191921237,False
5,5,5,5,19234,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial6,0.132793261961907,False
6,6,6,6,19235,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial7,-0.137706638673708,False
7,7,7,7,19236,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial8,0.0157921450971652,False
8,8,8,8,19237,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial9,-0.135293918039229,False
9,9,9,9,19238,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial10,-0.177191576355,False
10,10,10,10,19239,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial11,-0.103636869886583,False
11,11,11,11,19240,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial12,-0.12601607597148,False
12,12,12,12,19241,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial13,0.186330867513344,False
13,13,13,13,19242,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial14,-0.0971279894395662,False
14,14,14,14,19243,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial15,-0.177191576355,False
15,15,15,15,19244,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial16,-0.0700724981543721,False
16,16,16,16,19245,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial17,-0.0928494022315438,False
17,17,17,17,19246,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial18,0.294728484678854,False
18,18,18,18,19247,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial19,-0.0761547544785128,False
19,19,19,19,19248,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial20,-0.15209305522651,False
20,20,20,20,19249,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial21,-0.101449148235637,False
21,21,21,21,19250,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial22,-0.105835667819332,False
22,22,22,22,19251,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial23,0.0384082239843546,False
23,23,23,23,19252,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial24,-0.121444753497359,False
24,24,24,24,19253,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial25,-0.184990593786836,False
25,25,25,25,19254,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial26,-0.164442203269811,False
26,26,26,26,19255,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial27,-0.256372822402625,False
27,27,27,27,19256,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial28,0.0384082239843546,False
28,28,28,28,19257,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial29,0.0431111281782259,False
29,29,29,29,19258,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial30,-0.114699128150637,False
30,30,30,30,19259,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial31,-0.177152801792955,False
31,31,31,31,19260,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial32,0.0789346037867023,False
32,32,32,32,19261,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial33,-0.0660511311329182,False
33,33,33,33,19262,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial34,-0.105835667819332,False
34,34,34,34,19263,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial35,-0.187657010033165,False
35,35,35,35,19264,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial36,-0.112488518801321,False
36,36,36,36,19265,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial37,-0.0204928258584243,False
37,37,37,37,19266,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial38,0.0272675663977422,False
38,38,38,38,19267,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial39,-0.0823545719698093,False
39,39,39,39,19268,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial40,-0.123747257128034,False
40,40,40,40,19269,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial41,-0.166985036196408,False
41,41,41,41,19270,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial42,-0.149684222018256,False
42,42,42,42,19271,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial43,0.0477713503944517,False
43,43,43,43,19272,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial44,0.213443935741267,False
44,44,44,44,19273,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial45,-0.132976239437014,False
45,45,45,45,19274,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial46,-0.0992939974494211,False
46,46,46,46,19275,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial47,-0.0241029571327256,False
47,47,47,47,19276,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial48,0.13782861671001,False
48,48,48,48,19277,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial49,-0.0464941332246629,False
49,49,49,49,19278,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial50,0.0320760292344069,False
50,50,50,50,19279,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial51,-0.112455111105163,False
51,51,51,51,19280,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial52,-0.0204567855702846,False
52,52,52,52,19281,JEC_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial53,0.178435516250468,False
