,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
61150,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial1,0.105632830840735
61151,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial2,-0.0575799299690747
61152,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial3,-0.230856402023373
61153,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial4,-0.18768279774777
61154,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial5,-0.28191844700776
61155,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial6,-0.398451034524018
61156,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial7,-0.501691400479584
61157,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial8,-0.120994938129323
61158,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial9,-0.386020016356954
61159,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial10,-0.318595239855245
61160,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial11,-0.486137423623201
61161,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial12,-0.558052135828035
61162,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial13,-0.0158228801839297
61163,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial14,-0.339994788338887
61164,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial15,-0.257112602476181
61165,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial16,-0.55823307929926
61166,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial17,-0.540559816777769
61167,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial18,-0.155421933875028
61168,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial19,-0.382081497376352
61169,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial20,-0.31511747417966
61170,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial21,-0.523382811675205
61171,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial22,-0.394398684431179
61172,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial23,-0.182534540551911
61173,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial24,-0.358657549297409
61174,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial25,-0.354845178889287
61175,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial26,-0.242362707572889
61176,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial27,-0.446928917687803
61177,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial28,-0.402689110926254
61178,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial29,-0.428800682730794
61179,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial30,-0.386141769786937
61180,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial31,-0.415483538682056
61181,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial32,-0.481006801619734
61182,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial33,-0.362522902860062
61183,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial34,-0.424323495195428
61184,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial35,-0.491148421138879
61185,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial36,-0.523382811675205
61186,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial37,-0.552182392742845
61187,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial38,-0.322101079928408
61188,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial39,-0.347300831920457
61189,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial40,-0.374053349767766
61190,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial41,-0.433324507266899
61191,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial42,-0.461286871565425
61192,JEC_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial43,-0.322101079928408
