,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,60363,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial1,0.143203317669865,False
1,1,1,1,1,1,1,1,60364,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial2,-0.0932859581293819,False
2,2,2,2,2,2,2,2,60365,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial3,-0.0995349074063832,False
3,3,3,3,3,3,3,3,60366,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial4,-0.0711129791781904,False
4,4,4,4,4,4,4,4,60367,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial5,-0.0770587202555406,False
5,5,5,5,5,5,5,5,60368,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial6,-0.0371073519151635,False
6,6,6,6,6,6,6,6,60369,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial7,-0.160208620958961,False
7,7,7,7,7,7,7,7,60370,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial8,-0.110164633413136,False
8,8,8,8,8,8,8,8,60371,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial9,-0.114486114697087,False
9,9,9,9,9,9,9,9,60372,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial10,-0.1367516519104719,False
10,10,10,10,10,10,10,10,60373,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial11,0.0254038292019167,False
11,11,11,11,11,11,11,11,60374,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial12,-0.192775779081567,False
12,12,12,12,12,12,12,12,60375,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial13,-0.155421933875028,False
13,13,13,13,13,13,13,13,60376,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial14,-0.157826677994116,False
14,14,14,14,14,14,14,14,60377,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial15,0.0126133358451663,False
15,15,15,15,15,15,15,15,60378,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial16,-0.067219865340689,False
16,16,16,16,16,16,16,16,60379,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial17,-0.179951557010546,False
17,17,17,17,17,17,17,17,60380,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial18,-0.1824964439877349,False
18,18,18,18,18,18,18,18,60381,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial19,-0.146015658438767,False
19,19,19,19,19,19,19,19,60382,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial20,-0.129959195153651,False
20,20,20,20,20,20,20,20,60383,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial21,0.0300833840208647,False
21,21,21,21,21,21,21,21,60384,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial22,-0.129959195153651,False
22,22,22,22,22,22,22,22,60385,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial23,-0.132204024159751,False
23,23,23,23,23,23,23,23,60386,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial24,-0.11884006260177,False
24,24,24,24,24,24,24,24,60387,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial25,-0.1799894309788459,False
25,25,25,25,25,25,25,25,60388,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial26,-0.1079985181733999,False
26,26,26,26,26,26,26,26,60389,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial27,-0.129925442133707,False
27,27,27,27,27,27,27,27,60390,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial28,-0.134483254729879,False
28,28,28,28,28,28,28,28,60391,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial29,-0.0711228049563535,False
29,29,29,29,29,29,29,29,60392,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial30,-0.0932756179076719,False
30,30,30,30,30,30,30,30,60393,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial31,0.121046877242558,False
31,31,31,31,31,31,31,31,60394,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial32,-0.0810414487157169,False
32,32,32,32,32,32,32,32,60395,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial33,-0.0407569068531969,False
33,33,33,33,33,33,33,33,60396,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial34,-0.0316809139490792,False
34,34,34,34,34,34,34,34,60397,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial35,-0.0537868581327205,False
35,35,35,35,35,35,35,35,60398,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial36,-0.0462708362564759,False
36,36,36,36,36,36,36,36,60399,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial37,-0.0995349074063832,False
37,37,37,37,37,37,37,37,60400,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial38,-0.103783170615217,False
38,38,38,38,38,38,38,38,60401,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial39,-0.127703522933075,False
39,39,39,39,39,39,39,39,60402,JEC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run9,Trial40,-0.1483335244602869,False
