,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,104661,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial1,0.0805146594381365,False
1,1,1,1,104662,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial2,-0.100988585501949,False
2,2,2,2,104663,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial3,-0.121730608392975,False
3,3,3,3,104664,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial4,-0.0351914380068461,False
4,4,4,4,104665,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial5,-0.154931749493036,False
5,5,5,5,104666,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial6,-0.0163920129587725,False
6,6,6,6,104667,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial7,-0.0677888853840241,False
7,7,7,7,104668,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial8,-0.176121623042152,False
8,8,8,8,104669,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial9,0.287127928455381,False
9,9,9,9,104670,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial10,-0.0889593834200881,False
10,10,10,10,104671,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial11,-0.0791898952496766,False
11,11,11,11,104672,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial12,-0.117525385129271,False
12,12,12,12,104673,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial13,-0.0889593834200881,False
13,13,13,13,104674,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial14,-0.0081607737077726,False
14,14,14,14,104675,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial15,-0.157247316363332,False
