,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
104771,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial1,0.142649203485425
104772,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial2,-0.100927704520297
104773,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial3,-0.0909478649144972
104774,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial4,-0.023125134633577
104775,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial5,-0.176121623042152
104776,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial6,-0.0909478649144972
104777,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial7,-0.051188918511103
104778,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial8,-0.103043241542767
104779,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial9,-0.0773024509065063
104780,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial10,-0.229998597195761
104781,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial11,-0.117525385129271
104782,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial12,-0.0889593834200881
104783,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial13,-0.183408797880488
104784,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial14,-0.00976168713546199
104785,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial15,-0.178492641394841
104786,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial16,-0.0475577253280726
104787,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial17,-0.134716873980763
104788,JEC_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run29,Trial18,0.0457247137533581
