,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,141482,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial1,0.109670660271262,False
1,1,1,1,141483,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial2,-0.0401627163824489,False
2,2,2,2,141484,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial3,-0.0165835303050885,False
3,3,3,3,141485,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial4,-0.119716907478242,False
4,4,4,4,141486,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial5,-0.225689335701362,False
5,5,5,5,141487,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial6,-0.142689013078788,False
6,6,6,6,141488,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial7,-0.147435318420194,False
7,7,7,7,141489,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial8,0.0222255701307774,False
8,8,8,8,141490,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial9,-0.182209355682605,False
9,9,9,9,141491,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial10,-0.206135170361934,False
10,10,10,10,141492,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial11,0.050370825365575,False
11,11,11,11,141493,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial12,-0.159545371046661,False
12,12,12,12,141494,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial13,-0.042040012413298,False
13,13,13,13,141495,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial14,-0.131033855299084,False
14,14,14,14,141496,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial15,-0.174509828532902,False
15,15,15,15,141497,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial16,-0.198043837179668,False
16,16,16,16,141498,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial17,-0.0401627163824489,False
17,17,17,17,141499,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial18,-0.187410549368413,False
18,18,18,18,141500,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial19,-0.079149228795536,False
19,19,19,19,141501,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial20,-0.240186530990356,False
20,20,20,20,141502,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial21,-0.100011902718567,False
21,21,21,21,141503,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial22,-0.0873723512974141,False
22,22,22,22,141504,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial23,-0.0165835303050885,False
23,23,23,23,141505,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial24,0.0040926519134787,False
24,24,24,24,141506,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial25,-0.280397634328004,True
25,25,25,25,141507,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial26,-0.110853447146937,False
26,26,26,26,141508,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial27,-0.0201199116838322,False
27,27,27,27,141509,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial28,0.0007128455064457,False
28,28,28,28,141510,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial29,-0.0201199116838322,False
29,29,29,29,141511,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial30,0.148783863358819,False
30,30,30,30,141512,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial31,-0.203385083262037,False
31,31,31,31,141513,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial32,0.0124371110812902,False
32,32,32,32,141514,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial33,0.0057559737543391,False
33,33,33,33,141515,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial34,0.0238531691664585,False
34,34,34,34,141516,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial35,-0.179657631453455,False
35,35,35,35,141517,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial36,-0.042011933331259,False
36,36,36,36,141518,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial37,-0.131068322659209,False
37,37,37,37,141519,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial38,-0.290263918194313,True
38,38,38,38,141520,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial39,-0.172002815524013,False
39,39,39,39,141521,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial40,-0.197990218922011,False
40,40,40,40,141522,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial41,-0.293558581788927,True
41,41,41,41,141523,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial42,-0.220026118428043,False
42,42,42,42,141524,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial43,-0.135688643179137,False
43,43,43,43,141525,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial44,-0.20066578740177,False
44,44,44,44,141526,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial45,-0.182209355682605,False
45,45,45,45,141527,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial46,0.0623033785696951,False
46,46,46,46,141528,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial47,-0.140346909005454,False
47,47,47,47,141529,JEC_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run12,Trial48,-0.249171225244535,False
