,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
141959,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial1,0.147551615817222
141960,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial2,-0.16450540625879
141961,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial3,-0.0044152823617023
141962,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial4,-0.159545371046661
141963,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial5,-0.60137259400641
141964,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial6,-0.135653807189072
141965,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial7,-0.220026118428043
141966,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial8,-0.200746714352885
141967,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial9,-0.270813920704878
141968,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial10,-0.499060427658621
141969,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial11,-0.237227578783075
141970,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial12,-0.314114464473575
141971,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial13,-0.0183614162870689
141972,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial14,-0.159618986519658
141973,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial15,-0.463134679767624
141974,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial16,-0.243180654977408
141975,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial17,-0.321123210284218
141976,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial18,-0.237315614422803
141977,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial19,-0.214380119582141
141978,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial20,-0.488388223547854
141979,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial21,-0.280397634328004
141980,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial22,-0.280397634328004
141981,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial23,-0.206135170361934
141982,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial24,-0.335599827044661
141983,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial25,-0.509836575612048
141984,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial26,-0.293658811302851
141985,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial27,-0.220026118428043
141986,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial28,-0.321230008386785
141987,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial29,-0.411883442810918
141988,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial30,-0.478150808168368
141989,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial31,-0.358300614738286
141990,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial32,-0.200746714352885
141991,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial33,-0.458177430637971
141992,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial34,-0.290313651315685
141993,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial35,-0.575041659294099
141994,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial36,-0.303663624857636
141995,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial37,-0.429932199404617
141996,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial38,-0.42081406727596
141997,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial39,-0.286878908992902
141998,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial40,-0.44368360670632
141999,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial41,-0.307234270380662
142000,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial42,-0.145031951228537
142001,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial43,-0.0957329998702363
142002,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial44,-0.240186530990356
142003,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial45,-0.581541075701122
142004,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial46,-0.335710245575339
142005,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial47,-0.331898691479692
142006,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial48,-0.358300614738286
142007,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial49,0.042753571066847
142008,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial50,-0.403261767596323
142009,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial51,-0.434413885193487
142010,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial52,-0.300342598342429
142011,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial53,-0.42081406727596
142012,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial54,0.122668249558993
142013,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial55,-0.407496923227223
142014,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial56,-0.0327702913983638
142015,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial57,0.0173466720554738
142016,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial58,-0.190008373114441
142017,JEC_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run21,Trial59,-0.283683323608507
