,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,142835,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial1,0.2403256558172689,False
1,1,1,1,1,1,1,1,142836,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial2,-0.118323923972458,False
2,2,2,2,2,2,2,2,142837,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial3,0.0100003468322636,False
3,3,3,3,3,3,3,3,142838,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial4,0.0307294950222246,False
4,4,4,4,4,4,4,4,142839,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial5,-0.253663575620754,False
5,5,5,5,5,5,5,5,142840,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial6,-0.228501707252119,False
6,6,6,6,6,6,6,6,142841,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial7,-0.253874236928395,False
7,7,7,7,7,7,7,7,142842,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial8,0.0874729220102068,False
8,8,8,8,8,8,8,8,142843,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial9,-0.0607666787676666,False
9,9,9,9,9,9,9,9,142844,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial10,-0.3088525934718,True
10,10,10,10,10,10,10,10,142845,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial11,-0.158022315583203,False
11,11,11,11,11,11,11,11,142846,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial12,-0.140307587281338,False
12,12,12,12,12,12,12,12,142847,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial13,-0.006133448289618,False
13,13,13,13,13,13,13,13,142848,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial14,-0.2165438118686619,False
14,14,14,14,14,14,14,14,142849,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial15,-0.2944863671754719,True
15,15,15,15,15,15,15,15,142850,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial16,-0.147834892201539,False
16,16,16,16,16,16,16,16,142851,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial17,-0.19320599598191,False
17,17,17,17,17,17,17,17,142852,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial18,-0.150317927830065,False
18,18,18,18,18,18,18,18,142853,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial19,-0.1963181159413189,False
19,19,19,19,19,19,19,19,142854,JEC_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run36,Trial20,-0.176829675458593,False
