,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,21543,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial1,0.0798639777694348,False
1,1,1,1,1,1,1,1,21544,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial2,-0.122607718344367,False
2,2,2,2,2,2,2,2,21545,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial3,-0.0082291321577137,False
3,3,3,3,3,3,3,3,21546,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial4,-0.0543097865308075,False
4,4,4,4,4,4,4,4,21547,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial5,-0.150024323066514,False
5,5,5,5,5,5,5,5,21548,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial6,-0.2083179351140428,False
6,6,6,6,6,6,6,6,21549,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial7,-0.0968821552675392,False
7,7,7,7,7,7,7,7,21550,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial8,-0.0897381473167091,False
8,8,8,8,8,8,8,8,21551,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial9,-0.0827703103136335,False
9,9,9,9,9,9,9,9,21552,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial10,-0.2597622182816639,False
10,10,10,10,10,10,10,10,21553,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial11,-0.222369364004731,False
11,11,11,11,11,11,11,11,21554,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial12,-0.138040758418458,False
12,12,12,12,12,12,12,12,21555,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial13,-0.098628344078783,False
13,13,13,13,13,13,13,13,21556,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial14,-0.064109953337089,False
14,14,14,14,14,14,14,14,21557,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial15,-0.215280954589991,False
15,15,15,15,15,15,15,15,21558,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial16,-0.217658463585849,False
16,16,16,16,16,16,16,16,21559,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial17,-0.168596003879981,False
17,17,17,17,17,17,17,17,21560,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial18,-0.190229849731006,False
18,18,18,18,18,18,18,18,21561,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial19,-0.098628344078783,False
19,19,19,19,19,19,19,19,21562,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial20,-0.222369364004731,False
20,20,20,20,20,20,20,20,21563,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial21,-0.244394028181953,False
21,21,21,21,21,21,21,21,21564,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial22,-0.172801227143685,False
22,22,22,22,22,22,22,22,21565,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial23,-0.0575383938690157,False
23,23,23,23,23,23,23,23,21566,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial24,-0.0793493279462392,False
24,24,24,24,24,24,24,24,21567,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial25,-0.196906625283355,False
25,25,25,25,25,25,25,25,21568,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial26,-0.281069215946471,True
26,26,26,26,26,26,26,26,21569,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial27,-0.13612905375552,False
27,27,27,27,27,27,27,27,21570,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial28,-0.1264459581368039,False
28,28,28,28,28,28,28,28,21571,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial29,-0.1322046646588419,False
29,29,29,29,29,29,29,29,21572,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial30,-0.244469343717473,False
30,30,30,30,30,30,30,30,21573,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial31,-0.1561065793906539,False
31,31,31,31,31,31,31,31,21574,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial32,0.0360415157779497,False
32,32,32,32,32,32,32,32,21575,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial33,-0.1581702276953119,False
33,33,33,33,33,33,33,33,21576,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial34,-0.0352946516507857,False
34,34,34,34,34,34,34,34,21577,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial35,-0.142018483665208,False
35,35,35,35,35,35,35,35,21578,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial36,-0.0478757956777347,False
36,36,36,36,36,36,36,36,21579,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial37,-0.0430805096407019,False
37,37,37,37,37,37,37,37,21580,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial38,-0.0510567500638164,False
38,38,38,38,38,38,38,38,21581,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial39,0.2068428540096649,False
39,39,39,39,39,39,39,39,21582,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial40,-0.1561065793906539,False
40,40,40,40,40,40,40,40,21583,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial41,-0.059182227045385,False
41,41,41,41,41,41,41,41,21584,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial42,-0.124527360098778,False
42,42,42,42,42,42,42,42,21585,JSH_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run28,Trial43,-0.0337386354968552,False
